,greek_id,english_word,sent_id,greek_word,alignments,gloss
0,100808834,indeed,1,ἀεὶ,,
1,100808835,indeed,1,μέν,,
2,100808837,son,1,ὦ,,
3,100808838,of,1,παῖ,,
4,100808839,Laertes,1,Λαρτίου,,
5,100808841,have,1,δέδορκά,,
6,100808842,you,1,σε,,
7,100808843,attempting,1,πεῖράν,,
8,100808844,a,1,τιν’,,
9,100808845,certain,1,ἐχθρῶν,,
10,100808846,enemies,1,ἁρπάσαι,,
11,100808847,while,1,θηρώμενον,,
12,100808849,And,2,καὶ,,
13,100808850,now,2,νῦν,,
14,100808851,at,2,ἐπὶ,,
15,100808852,ships,2,σκηναῖς,,
16,100808854,Ajax,2,ναυτικαῖς,,
17,100808853,you,2,σε,,
18,100808855,see,2,ὁρῶ,,
19,100808858,where,2,ἔνθα,,
20,100808859,post,2,τάξιν,,
21,100808860,last,2,ἐσχάτην,,
22,100808861,hold,2,ἔχει,,
23,100808863,long,2,πάλαι,,
24,100808864,hunted,2,κυνηγετοῦντα,,
25,100808865,and,2,καὶ,,
26,100808866,measured,2,μετρούμενον,,
27,100808867,tracks,2,ἴχνη,,
28,100808868,the,2,τὰ,,
29,100808869,man,2,κείνου,,
30,100808870,freshly cut,2,νεοχάραχθ’,,
31,100808872,so that,2,ὅπως,,
32,100808873,see,2,ἴδῃς,,
33,100808874,whether,2,εἴ,,
34,100808875,or,2,-τ’,,
35,100808876,inside,2,ἔνδον,,
36,100808877,whether,2,εἴ,,
37,100808878,or,2,-τ’,,
38,100808879,not,2,οὐκ,,
39,100808880,inside,2,ἔνδον,,
40,100808882,And,3,εὖ,,
41,100808883,yet,3,δέ,,
42,100808884,you,3,σ’,,
43,100808885,are being carried away,3,ἐκφέρει,,
44,100808886,Spartan,3,κυνὸς,,
45,100808887,bitch,3,Λακαίνης,,
46,100808888,like,3,ὥς,,
47,100808889,the,3,τις,,
48,100808890,firm,3,εὔρινος,,
49,100808891,foundation,3,βάσις,,
50,100808894,For,4,γὰρ,,
51,100808893,inside,4,ἔνδον,,
52,100808897,is,4,τυγχάνει,,
53,100808895,man,4,ἁνὴρ,,
54,100808896,just,4,ἄρτι,,
55,100808897,now,4,τυγχάνει,,
56,100808899,head,4,κάρα,,
57,100808900,dripping,4,στάζων,,
58,100808901,with,4,ἱδρῶτι,,
59,100808901,sweat,4,ἱδρῶτι,,
60,100808902,and,4,καὶ,,
61,100808903,hands,4,χέρας,,
62,100808904,killers,4,ξιφοκτόνους,,
63,100808904,men,4,ξιφοκτόνους,,
64,100808906,And,5,καί,,
65,100808907,you,5,σ’,,
66,100808908,no,5,οὐδὲν,,
67,100808909,longer,5,εἴσω,,
68,100808910,this,5,τῆσδε,,
69,100808911,look,5,παπταίνειν,,
70,100808912,gate,5,πύλης,,
71,100808913,any,5,ἔτ’,,
72,100808914,business,5,ἔργον,,
73,100808915,is,5,ἐστίν,,
74,100808917,speak,5,ἐννέπειν,,
75,100808918,but,5,δ’,,
76,100808919,for,5,ὅτου,,
77,100808920,the,5,χάριν,,
78,100808921,haste,5,σπουδὴν,,
79,100808922,undertaken,5,ἔθου,,
80,100808923,this,5,τήνδ’,,
81,100808925,as,5,ὡς,,
82,100808926,from,5,παρ’,,
83,100808927,knower,5,εἰδυίας,,
84,100808928,learns,5,μάθῃς,,
85,100808930,O,6,ὦ,,
86,100808931,voice,6,φθέγμ’,,
87,100808932,of Athena,6,Ἀθάνας,,
88,100808934,most dear,6,φιλτάτης,,
89,100808935,to me,6,ἐμοὶ,,
90,100808936,of all the goddesses,6,θεῶν,,
91,100808938,how,6,ὡς,,
92,100808939,easily,6,εὐμαθές,,
93,100808940,your,6,σου,,
94,100808942,and,6,κα-,,
95,100808943,as,6,κἂν,,
96,100808944,unseen,6,ἄποπτος,,
97,100808945,is,6,ᾖς,,
98,100808946,nevertheless,6,ὅμως,,
99,100808948,sound,6,φώνημ’,,
100,100808949,I hear,6,ἀκούω,,
101,100808951,snatch it up,6,ξυναρπάζω,,
102,100808952,with the mind,6,φρενὶ,,
103,100808953,of the bronze-tongued,6,χαλκοστόμου,,
104,100808954,bell,6,κώδωνος,,
105,100808955,just as,6,ὡς,,
106,100808956,of the Tyrrhenians,6,Τυρσηνικῆς,,
