,greek_id,greek_word,gloss,sent_id
0,100808834,ἀεὶ,always,0
1,100808835,μέν,indeed,0
2,100808836,",",",",0
3,100808837,ὦ,O,0
4,100808838,παῖ,son,0
5,100808839,Λαρτίου,of Lartios,0
6,100808840,",",",",0
7,100808841,δέδορκα,have seen,0
8,100808842,σε,you,0
9,100808843,πεῖράν,trial,0
10,100808844,τιν',some,0
11,100808845,ἐχθρῶν,enemy's,0
12,100808846,ἁρπάσαι,to seize,0
13,100808847,θηρώμενον,being hunted,0
14,100808848,.,.,0
15,100808849,καὶ,and,1
16,100808850,νῦν,now,1
17,100808851,ἐπὶ,near,1
18,100808852,σκηναῖς,tents,1
19,100808853,σε,you,1
20,100808854,ναυτικαῖς,naval,1
21,100808855,ὁρῶ,I see,1
22,100808849,καὶ,and,1
23,100808857,",",",",1
24,100808858,ἔνθα,where,1
25,100808859,τάξιν,position,1
26,100808860,ἐσχάτην,last,1
27,100808861,ἔχει,holds,1
28,100808862,",",",",1
29,100808863,πάλαι,long ago,1
30,100808864,κυνηγετοῦντα,hunting,1
31,100808865,καὶ,and,1
32,100808866,μετρούμενον,measuring,1
33,100808867,ἴχνη,tracks,1
34,100808868,τὰ,the,1
35,100808869,κείνου,his,1
36,100808870,νεοχάραχθ’,newly engraved,1
37,100808871,",",",",1
38,100808872,ὅπως,so that,1
39,100808873,ἴδῃς,you may see,1
40,100808874,εἴ,whether,1
41,100808875,-τ’,and,1
42,100808876,ἔνδον,inside,1
43,100808877,εἴ,whether,1
44,100808878,-τ',and,1
45,100808879,οὐκ,not,1
46,100808880,ἔνδον,inside,1
47,100808881,.,.,1
48,100808882,εὖ,and,2
49,100808883,δέ,but,2
50,100808884,σ’,you,2
51,100808885,ἐκφέρει,carries out,2
52,100808886,κυνὸς,dog's,2
53,100808887,Λακαίνης,of the Spartan,2
54,100808888,ὥς,as,2
55,100808889,τις,someone,2
56,100808890,εὔρινος,broad,2
57,100808891,βάσις,foundation,2
58,100808892,.,.,2
59,100808893,ἔνδον,inside,3
60,100808894,γὰρ,for,3
61,100808895,ἁνὴρ,man,3
62,100808896,ἄρτι,just,3
63,100808897,τυγχάνει,happens,3
64,100808898,",",",",3
65,100808899,κάρα,head,3
66,100808900,στάζων,dripping,3
67,100808901,ἱδρῶτι,with sweat,3
68,100808902,καὶ,and,3
69,100808903,χέρας,hands,3
70,100808904,ξιφοκτόνους,sword-killing,3
71,100808905,.,.,3
72,100808906,καί,and,4
73,100808907,σ',you,4
74,100808908,οὐδὲν,nothing,4
75,100808909,εἴσω,inside,4
76,100808910,τῆσδε,this,4
77,100808911,παπταίνειν,to look around,4
78,100808912,πύλης,of the gate,4
79,100808913,ἔτ',still,4
80,100808914,ἔργον,task,4
81,100808915,ἐστίν,is,4
82,100808916,",",",",4
83,100808917,ἐννέπειν,to say,4
84,100808918,δ’,and,4
85,100808919,ὅτου,for which reason,4
86,100808920,χάριν,for the sake of,4
87,100808921,σπουδὴν,haste,4
88,100808922,ἔθου,you set,4
89,100808923,τήνδ',this,4
90,100808924,",",",",4
91,100808925,ὡς,as,4
92,100808926,παρ’,from,4
93,100808927,εἰδυίας,of those who know,4
94,100808928,μάθῃς,learn,4
95,100808929,.,.,4
96,100808930,ὦ,Oh,5
97,100808931,φθέγμ’,utterance,5
98,100808932,Ἀθάνας,of Athena,5
99,100808933,",",",",5
100,100808934,φιλτάτης,dearest,5
101,100808935,ἐμοὶ,to me,5
102,100808936,θεῶν,gods,5
103,100808937,",",",",5
104,100808938,ὡς,how,5
105,100808939,εὐμαθές,easily,5
106,100808940,σου,your,5
107,100808941,",",",",5
108,100808942,κα-,and,5
109,100808943,κἂν,if,5
110,100808944,ἄποπτος,unseen,5
111,100808945,ᾖς,are,5
112,100808946,ὅμως,nevertheless,5
113,100808947,",",",",5
114,100808948,φώνημ’,voice,5
115,100808949,ἀκούω,I hear,5
116,100808950,καὶ,and,5
117,100808951,ξυναρπάζω,I snatch together,5
118,100808952,φρενὶ,with my mind,5
119,100808953,χαλκοστόμου,of bronze-mouthed,5
120,100808954,κώδωνος,of a bell,5
121,100808955,ὡς,like,5
122,100808956,Τυρσηνικῆς,Tyrsenian,5
123,100808957,.,.,5
124,100808958,καὶ,and,6
125,100808959,νῦν,now,6
126,100808960,ἐπέγνως,you have come to know,6
127,100808961,εὖ,well,6
128,100808962,μ’,me,6
129,100808963,ἐπ’,against,6
130,100808964,ἀνδρὶ,man,6
131,100808965,δυσμενεῖ,hostile,6
132,100808966,βάσιν,step,6
133,100808967,κυκλοῦντ’,encircling,6
134,100808968,",",",",6
135,100808969,Αἴαντι,to Ajax,6
136,100808970,τῷ,the,6
137,100808971,σακεσφόρῳ,shield-bearing,6
138,100808972,.,.,6
139,100808973,κεῖνον,him,7
140,100808974,γάρ,for,7
141,100808975,",",comma,7
142,100808976,οὐδέν',not,7
143,100808977,ἄλλον,other,7
144,100808978,",",",",7
145,100808979,ἰχνεύω,I am tracking,7
146,100808980,πάλαι,long ago,7
147,100808981,.,.,7
148,100808982,νυκτὸς,of night,8
149,100808983,γὰρ,for,8
150,100808984,ἡμᾶς,us,8
151,100808985,τῆσδε,this,8
152,100808986,πρᾶγος,matter,8
153,100808987,ἄσκοπον,unplanned,8
154,100808988,ἔχει,has,8
155,100808989,περάνας,to limit,8
156,100808990,",",",",8
157,100808991,εἴπερ,if indeed,8
158,100808992,εἴργασται,has been accomplished,8
159,100808993,τάδε,these,8
160,100808994,.,.,8
161,100808995,ἴσμεν,we know,9
162,100808996,γὰρ,for,9
163,100808997,οὐδὲν,nothing,9
164,100808998,τρανές,clearly,9
165,100808999,",",",",9
166,100809000,ἀλλ’,but,9
167,100809001,ἀλώμεθα,we have been conquered,9
168,100809002,.,.,9
169,100809003,κα-,and,10
170,100809004,κἀγὼ,I,10
171,100809005,’θελοντὴς,willingly,10
172,100809006,τῷδ’,this,10
173,100809007,ὑπεζύγην,I yoked myself,10
174,100809008,πόνῳ,labor,10
175,100809009,.,.,10
176,100809010,ἐφθαρμένας,destroyed,11
177,100809011,γὰρ,for,11
178,100809012,ἀρτίως,just now,11
179,100809013,εὑρίσκομεν,find,11
180,100809014,λείας,booty,11
181,100809015,ἁπάσας,all,11
182,100809016,καὶ,and,11
183,100809017,κατηναρισμένας,destroyed,11
184,100809018,ἐκ,from,11
185,100809019,χειρὸς,hand,11
186,100809020,αὐτοῖς,themselves,11
187,100809021,ποιμνίων,of flocks,11
188,100809022,ἐπιστάταις,overseers,11
189,100809023,.,.,11
190,100809024,τήνδ',this,12
191,100809025,οὖν,therefore,12
192,100809026,ἐκείνῳ,that,12
193,100809027,πᾶς,every,12
194,100809028,τις,anyone,12
195,100809029,αἰτίαν,blame,12
196,100809030,νέμει,assigns,12
197,100809031,.,.,12
198,100809032,καί,and,13
199,100809033,μοί,to me,13
200,100809034,τις,someone,13
201,100809035,ὀπτὴρ,spy,13
202,100809036,αὐτὸν,him,13
203,100809037,εἰσιδὼν,seeing,13
204,100809038,μόνον,alone,13
205,100809039,πηδῶντα,leaping,13
206,100809040,πεδία,plains,13
207,100809041,σὺν,with,13
208,100809042,νεορράντῳ,newly-splashed,13
209,100809043,ξίφει,sword,13
210,100809044,φράζει,reports,13
211,100809045,τε,and,13
212,100809046,κα-,and,13
213,100809047,κἀδήλωσεν,made clear,13
214,100809048,.,.,13
215,100809049,εὐθέως,immediately,14
216,100809050,δ’,and,14
217,100809051,ἐγὼ,I,14
218,100809052,κατ’,along,14
219,100809053,ἴχνος,track,14
220,100809054,ᾄσσω,run,14
221,100809055,",",",",14
222,100809056,καὶ,and,14
223,100809057,τὰ,some,14
224,100809058,μὲν,on the one hand,14
225,100809059,σημαίνομαι,am a sign,14
226,100809060,",",",",14
227,100809061,τὰ,these,14
228,100809062,δ’,but,14
229,100809063,ἐκπέπληγμαι,I am struck,14
230,100809064,κα-,and,14
231,100809065,κοὐκ,not,14
232,100809066,ἔχω,have,14
233,100809067,μαθεῖν,to learn,14
234,100809068,ὅτου,of whom,14
235,100809069,.,.,14
236,100809070,καιρὸν,opportunity,15
237,100809071,δ’,and,15
238,100809072,ἐφήκεις,you said,15
239,100809073,.,.,15
240,100809074,πάντα,all,16
241,100809075,γὰρ,for,16
242,100809076,τά,the,16
243,100809077,τ',and,16
244,100809078,οὖν,then,16
245,100809079,πάρος,before,16
246,100809080,τά,those,16
247,100809081,τ’,and,16
248,100809082,εἰσέπειτα,afterwards,16
249,100809083,σῇ,your,16
250,100809084,κυβερνῶμαι,I am steered,16
251,100809085,χερί,hand,16
252,100809086,.,.,16
253,100809087,ἔγνων,I knew,17
254,100809088,",",",",17
255,100809089,Ὀδυσσεῦ,Odysseus,17
256,100809090,",",",",17
257,100809091,καὶ,and,17
258,100809092,πάλαι,long ago,17
259,100809093,φύλαξ,guard,17
260,100809094,ἔβην,was,17
261,100809095,τῇ,the,17
262,100809096,σῇ,your,17
263,100809097,πρόθυμος,willing,17
264,100809098,εἰς,towards,17
265,100809099,ὁδὸν,road,17
266,100809100,κυναγίᾳ,hunting,17
267,100809101,.,.,17
268,100809102,ἦ,is it not,18
269,100809103,καί,now,18
270,100809104,",",",",18
271,100809105,φίλη,beloved,18
272,100809106,δέσποινα,mistress,18
273,100809107,",",",",18
274,100809108,πρὸς,at,18
275,100809109,καιρὸν,season,18
276,100809110,πονῶ,am I toilsome?,18
277,100809111,;,?,18
278,100809112,ὡς,as,19
279,100809113,ἔστιν,is,19
280,100809114,ἀνδρὸς,man's,19
281,100809115,τοῦδε,of this,19
282,100809116,τα-,the,19
283,100809117,τἄργα,deeds,19
284,100809118,ταῦτά,these,19
285,100809119,σοι,to you,19
286,100809120,.,.,19
287,100809121,καὶ,and,20
288,100809122,πρὸς,toward,20
289,100809123,τί,some,20
290,100809124,δυσλόγιστον,ill-considered,20
291,100809125,ὧδ’,like this,20
292,100809126,ᾖξεν,sent,20
293,100809127,χέρα,hand,20
294,100809128,;,?,20
295,100809129,χόλῳ,with anger,21
296,100809130,βαρυνθεὶς,burdened,21
297,100809131,τῶν,of the,21
298,100809132,Ἀχιλλείων,of Achilles,21
299,100809133,ὅπλων,weapons,21
300,100809134,.,.,21
301,100809135,τί,why,22
302,100809136,δῆτα,pray,22
303,100809137,ποίμναις,flocks,22
304,100809138,τήνδ’,this,22
305,100809139,ἐπεμπίπτει,falls upon,22
306,100809140,βάσιν,step,22
307,100809141,;,?,22
308,100809142,δοκῶν,thinking,23
309,100809143,ἐν,among,23
310,100809144,ὑμῖν,you,23
311,100809145,χεῖρα,hand,23
312,100809146,χραίνεσθαι,to aid,23
313,100809147,φόνῳ,with murder,23
314,100809148,.,.,23
315,100809149,ἦ,did,24
316,100809150,καὶ,and,24
317,100809151,τὸ,the,24
318,100809152,βούλευμ’,plan,24
319,100809153,ὡς,as,24
320,100809154,ἐπ’,against,24
321,100809155,Ἀργείοις,Argives,24
322,100809156,τόδ’,this,24
323,100809157,ἦν,was,24
324,100809158,;,?,24
325,100809159,κα-,and,25
326,100809160,κἂν,would,25
327,100809161,ἐξεπράξατ’,I accomplished,25
328,100809162,",",",",25
329,100809163,εἰ,if,25
330,100809164,κατημέλησ’,neglected,25
331,100809165,ἐγώ,I,25
332,100809166,.,.,25
333,100809167,ποίαισι,what,26
334,100809168,τόλμαις,boldnesses,26
335,100809169,ταῖσδε,these,26
336,100809170,καὶ,and,26
337,100809171,φρενῶν,of minds,26
338,100809172,θράσει,audacity,26
339,100809173,;,?,26
