,greek_id,english_word,sent_id,greek_word,alignments
0,101678700,That,1,ὅτι,
1,101678702,you,1,ὑμεῖς,
2,101678704,O,1,ὦ,
3,101678705,men,1,ἄνδρες,
4,101678706,of Athens,1,Ἀθηναῖοι,
5,101678708,have suffered,1,πεπόνθατε,
6,101678709,at,1,ὑπὸ,
7,101678710,the,1,τῶν,
8,101678711,hands,1,ἐμῶν,
9,101678712,of my accusers,1,κατηγόρων,
10,101678714,do not,1,οὐκ,
11,101678715,know,1,οἶδα,
12,101678717,I,2,ἐγὼ,
13,101678718,for my part,2,δ’,
14,101678719,then,2,οὖν,
15,101678720,almost,2,καὶ,
16,101678721,myself,2,αὐτὸς,
17,101678722,because of,2,ὑπ’,
18,101678723,them,2,αὐτῶν,
19,101678724,almost,2,ὀλίγου,
20,101678725,myself,2,ἐμαυτοῦ,
21,101678726,forgot,2,ἐπελαθόμην,
22,101678728,so,2,οὕτω,
23,101678729,persuasively,2,πιθανῶς,
24,101678730,were they speaking,2,ἔλεγον,
25,101678732,yet,3,καίτοι,
26,101678733,truthfully,3,ἀληθές,
27,101678734,truthfully,3,γε,
28,101678735,to speak,3,ὡς,
29,101678736,truth,3,ἔπος,
30,101678737,to speak,3,εἰπεῖν,
31,101678738,nothing,3,οὐδὲν,
32,101678739,have said,3,εἰρήκασιν,
33,101678739,at all,3,εἰρήκασιν,
34,101678741,Most,4,μάλιστα,
35,101678742,of all,4,δὲ,
36,101678745,was amazed,4,ἐθαύμασα,
37,101678744,one,4,ἓν,
38,101678746,of,4,τῶν,
39,101678747,many,4,πολλῶν,
40,101678743,them,4,αὐτῶν,
41,101678748,which,4,ὧν,
42,101678754,said,4,ἔλεγον,
43,101678749,falsely,4,ἐψεύσαντο,
44,101678755,that,4,ὡς,
45,101678756,was necessary,4,χρῆν,
46,101678757,for you,4,ὑμᾶς,
47,101678758,to be careful,4,εὐλαβεῖσθαι,
48,101678759,lest,4,μὴ,
49,101678760,by,4,ὑπ’,
50,101678761,me,4,ἐμοῦ,
51,101678762,be deceived,4,ἐξαπατηθῆτε,
52,101678763,as if,4,ὡς,
53,101678766,I were,4,λέγειν,
54,101678764,a clever,4,δεινοῦ,
55,101678765,speaker,4,ὄντος,
56,101678769,For,5,γὰρ,
57,101678789,it seemed,5,ἔδοξεν,
58,101678788,to me,5,μοι,
59,101678772,that,5,ὅτι,
60,101678783,it,5,φαίνωμαι,
61,101678792,would be,5,εἶναι,
62,101678791,the most shameful thing,5,ἀναισχυντότατον,
63,101678790,for them,5,αὐτῶν,
64,101678770,not,5,μὴ,
65,101678771,to be ashamed,5,αἰσχυνθῆναι,
66,101678772,that,5,ὅτι,
67,101678776,they will be refuted,5,ἐξελεγχθήσονται,
68,101678777,in fact,5,ἔργῳ,
69,101678773,immediately,5,αὐτίκα,
70,101678774,by,5,ὑπ’,
71,101678775,me,5,ἐμοῦ,
72,101678779,whenever,5,ἐπειδὰν,
73,101678783,I appear,5,φαίνωμαι,
74,101678780,to be,5,μη,
75,101678782,in no way,5,ὁπωστιοῦν,
76,101678784,clever,5,δεινὸς,
77,101678785,at speaking,5,λέγειν,
78,101678794,unless,5,εἰ,
79,101678796,indeed,5,ἄρα,
80,101678798,call,5,καλοῦσιν,
81,101678797,'clever',5,δεινὸν,
82,101678799,these men,5,οὗτοι,
83,101678804,the one who speaks,5,λέγοντα,
84,101678803,the truth,5,τἀληθῆ,
85,101678808,For,6,γὰρ,
86,101678806,if,6,εἰ,
87,101678810,they,6,λέγουσιν,
88,101678809,this,6,τοῦτο,
89,101678812,admit,6,ὁμολογοίην,
90,101678814,I,6,ἔγωγε,
91,101678813,would,6,ἂν,
92,101678815,not,6,οὐ,
93,101678818,am,6,εἶναι,
94,101678819,orator,6,ῥήτωρ,
95,101678816,in the way of,6,κατὰ,
96,101678817,these,6,τούτους,
97,101678821,These,7,οὗτοι,
98,101678822,men,7,μὲν,
99,101678823,then,7,οὖν,
100,101678825,as,7,ὥσπερ,
101,101678826,I,7,ἐγὼ,
102,101678827,say,7,λέγω,
103,101678834,have spoken,7,εἰρήκασιν,
104,101678832,nothing,7,οὐδὲν,
105,101678833,true,7,ἀληθὲς,
106,101678837,but,7,δέ,
107,101678836,you,7,ὑμεῖς,
108,101678839,shall hear,7,ἀκούσεσθε,
109,101678838,from me,7,μου,
110,101678840,the whole,7,πᾶσαν,
111,101678841,the,7,τὴν,
112,101678842,truth,7,ἀλήθειαν,
113,101678844,not,7,οὐ,
114,101678845,by,7,μέντοι,
115,101678847,Zeus,7,Δία,
116,101678849,O,7,ὦ,
117,101678850,men,7,ἄνδρες,
118,101678851,Athenians,7,Ἀθηναῖοι,
119,101678855,speeches,7,λόγους,
120,101678853,embellished,7,κεκαλλιεπημένους,
121,101678857,as,7,ὥσπερ,
122,101678858,these,7,οἱ,
123,101678859,men,7,τούτων,
124,101678867,adorned,7,κεκοσμημένους,
125,101678861,with words,7,ῥήμασί,
126,101678864,and names,7,ὀνόμασιν,
127,101678869,but,7,ἀλλ’,
128,101678870,you shall hear,7,ἀκούσεσθε,
129,101678872,things spoken,7,λεγόμενα,
130,101678871,at random,7,εἰκῇ,
131,101678875,with whatever names,7,ὀνόμασιν,
132,101678874,happen to come to hand,7,ἐπιτυχοῦσιν,
133,101678878,for,7,γὰρ,
134,101678877,I believe,7,πιστεύω,
