,greek_id,english_word,sent_id,greek_word
0,100114975,Thus,7172,ὣς
1,100114976,they,7172,οἳ
2,100114977,they,7172,μὲν
3,100114978,into,7172,κατὰ
4,100114979,city,7172,ἄστυ
5,100114980,having fled,7172,πεφυζότες
6,100114981,like,7172,ἠΰτε
7,100114982,fawns,7172,νεβροὶ
8,100114983,sweat,7172,ἱδρῶ
9,100114984,rested,7172,ἀπεψύχοντο
10,100114985,drinking,7172,πίον
11,100114986,and,7172,τ’
12,100114987,healing,7172,ἀκέοντό
13,100114988,and,7172,τε
14,100114989,thirst,7172,δίψαν
15,100114990,leaning,7172,κεκλιμένοι
16,100114991,fair,7172,καλῇσιν
17,100114992,ramparts,7172,ἐπάλξεσιν
18,100114994,But,7173,αὐτὰρ
19,100114995,the Achaeans,7173,Ἀχαιοὶ
20,100114996,wall,7173,τείχεος
21,100114997,close,7173,ἆσσον
22,100114998,went,7173,ἴσαν
23,100114999,shields,7173,σάκε’
24,100115000,shoulders,7173,ὤμοισι
25,100115001,slung,7173,κλίναντες
26,100115003,Hector,7174,Ἕκτορα
27,100115004,And,7174,δ’
28,100115005,his,7174,αὐτοῦ
29,100115007,destructive,7174,ὀλοιὴ
30,100115008,fate,7174,μοῖρα
31,100115009,bound,7174,πέδησεν
32,100115006,remain,7174,μεῖναι
33,100115010,Ilium,7174,Ἰλίου
34,100115011,before,7174,προπάροιθε
35,100115012,gates,7174,πυλάων
36,100115013,and,7174,τε
37,100115014,Scaean,7174,Σκαιάων
38,100115012,gates,7174,πυλάων
39,100115016,But,7175,αὐτὰρ
40,100115017,Peleus',7175,Πηλείωνα
41,100115017,son,7175,Πηλείωνα
42,100115018,addressed,7175,προσηύδα
43,100115019,Phoebus,7175,Φοῖβος
44,100115020,Apollo,7175,Ἀπόλλων
45,100115023,Why,7176,τίπτέ
46,100115024,me,7176,με
47,100115025,of,7176,Πηλέος
48,100115026,son,7176,υἱὲ
49,100115025,Peleus,7176,Πηλέος
50,100115027,feet,7176,ποσὶν
51,100115028,swift,7176,ταχέεσσι
52,100115029,pursuing,7176,διώκεις
53,100115030,yourself,7176,αὐτὸς
54,100115031,mortal,7176,θνητὸς
55,100115032,are,7176,ἐὼν
56,100115033,immortal,7176,θεὸν
57,100115034,god,7176,ἄμβροτον
58,100115029,are,7176,διώκεις
59,100115032,being,7176,ἐὼν
60,100115036,not,7177,οὐ
61,100115037,And,7177,-δέ
62,100115038,yet,7177,νύ
63,100115039,yet,7177,πώ
64,100115040,me,7177,με
65,100115041,recognized,7177,ἔγνως
66,100115042,as,7177,ὡς
67,100115043,a god,7177,θεός
68,100115044,god,7177,εἰμι
69,100115046,you,7177,σὺ
70,100115047,but,7177,δ’
71,100115048,reckless,7177,ἀσπερχὲς
72,100115049,persist,7177,μενεαίνεις
73,100115051,Yet,7178,ἦ
74,100115052,it,7178,νύ
75,100115053,you,7178,τοι
76,100115054,not,7178,οὔ
77,100115055,at all,7178,τι
78,100115056,concerns,7178,μέλει
79,100115058,toil,7178,πόνος
