,greek_id,english_word,sent_id,greek_word,alignments
0,102401876,First,0,πρῶτον,
1,102401877,of,0,μὲν,
2,102401878,prayer,0,εὐχῇ,
3,102401879,this,0,τῇδε,
4,102401880,offer,0,πρεσβεύω,
5,102401881,gods,0,θεῶν,
6,102401882,to,0,τὴν,
7,102401883,prophetess,0,πρωτόμαντιν,
8,102401884,Gaia,0,Γαῖαν,
9,102401886,From,1,ἐκ,
10,102401889,Themis,1,Θέμιν,
11,102401891,who,1,ἣ,
12,102401895,second,1,δευτέρα,
13,102401894,mother,1,μητρὸς,
14,102401896,this,1,τόδ’,
15,102401898,oracle,1,μαντεῖον,
16,102401900,as,1,ὡς,
17,102401901,story,1,λόγος,
18,102401902,goes,1,τις,
19,102401904,in,2,ἐν,
20,102401905,And,2,δὲ,
21,102401906,the,2,τῷ,
22,102401907,third,2,τρίτῳ,
23,102401908,lot,2,λάχει,
24,102401910,willing,2,θελούσης,
25,102401912,not,2,οὐ,
26,102401913,against,2,-δὲ,
27,102401914,against,2,πρὸς,
28,102401915,violence,2,βίαν,
29,102401916,anyone's,2,τινός,
30,102401919,another,2,ἄλλη,
31,102401920,daughter,2,παῖς,
32,102401921,of Earth,2,Χθονὸς,
33,102401922,sat down,2,καθέζετο,
34,102401924,Phoibe,2,Φοίβη,
35,102401927,And,3,δ’,
36,102401928,she,3,ἣ,
37,102401926,gives,3,δίδωσι,
38,102401929,birth-gift,3,γενέθλιον,
39,102401930,birth-gift,3,δόσιν,
40,102401931,to Phoebus,3,Φοίβῳ,
41,102401933,the,4,τὸ,
42,102401934,of,4,Φοίβης,
43,102401935,She,4,δ’,
44,102401936,name,4,ὄνομ’,
45,102401937,bears,4,ἔχει,
46,102401938,sounds,4,παρώνυμον,
47,102401938,like,4,παρώνυμον,
48,102401938,hers,4,παρώνυμον,
49,102401940,Having left,5,λιπὼν,
50,102401942,the lake,5,λίμνην,
51,102401943,of Delos,5,Δηλίαν,
52,102401945,rocky,5,χοιράδα,
53,102401947,having sailed,5,κέλσας,
54,102401949,shores,5,ἀκτὰς,
55,102401950,ship-passing,5,ναυπόρους,
56,102401952,of Pallas,5,Παλλάδος,
57,102401955,this,5,τήνδε,
58,102401956,land,5,γαῖαν,
59,102401957,came,5,ἦλθε,
60,102401958,of Parnassus,5,Παρνησοῦ,
61,102401960,seat,5,ἕδρας,
62,102401962,send,6,πέμπουσι,
63,102401963,and,6,δ’,
64,102401964,him,6,αὐτὸν,
65,102401965,and,6,καὶ,
66,102401966,honor,6,σεβίζουσιν,
67,102401964,him,6,αὐτὸν,
68,102401967,greatly,6,μέγα,
69,102401968,road-making,6,κελευθοποιοὶ,
70,102401969,sons,6,παῖδες,
71,102401970,of Hephaestus,6,Ἡφαίστου,
72,102401972,earth,6,χθόνα,
73,102401973,untamed,6,ἀνήμερον,
74,102401974,laying,6,τιθέντες,
75,102401975,tamed,6,ἡμερωμένην,
76,102401977,come,7,μολόντα,
77,102401978,But,7,δ’,
78,102401979,him,7,αὐτὸν,
79,102401980,highly,7,κάρτα,
80,102401981,honor,7,τιμαλφεῖ,
81,102401982,people,7,λεώς,
82,102401984,Delos,7,Δελφός,
83,102401985,and,7,τε,
84,102401986,land,7,χώρας,
85,102401987,this,7,τῆσδε,
86,102401988,steerer,7,πρυμνήτης,
87,102401989,lord,7,ἄναξ,
88,102401992,But,8,δέ,
89,102401994,Zeus,8,Ζεὺς,
90,102401996,having created,8,κτίσας,
91,102401991,art,8,τέχνης,
92,102401995,divine,8,ἔνθεον,
93,102401997,mind,8,φρένα,
94,102401998,seats,8,ἵζει,
95,102401999,fourth,8,τέταρτον,
