,greek_id,english_word,sent_id,greek_word,alignments
0,102426909,place,1,περὶ,
1,102426910,great,1,πολλοῦ,
2,102426911,would,1,ἂν,
3,102426912,value,1,ποιησαίμην,
4,102426914,O,1,ὦ,
5,102426915,men,1,ἄνδρες,
6,102426917,my,1,τὸ,
7,102426918,judges,1,τοιούτους,
8,102426919,you,1,ὑμᾶς,
9,102426920,my,1,ἐμοὶ,
10,102426921,judges,1,δικαστὰς,
11,102426922,in,1,περὶ,
12,102426923,this,1,τούτου,
13,102426924,matter,1,τοῦ,
14,102426925,matter,1,πράγματος,
15,102426926,becoming,1,γενέσθαι,
16,102426928,who,1,οἷοίπερ,
17,102426929,were,1,ἂν,
18,102426930,you,1,ὑμῖν,
19,102426931,yourselves,1,αὐτοῖς,
20,102426932,were,1,εἴητε,
21,102426933,such,1,τοιαῦτα,
22,102426934,things,1,πεπονθότες,
23,102426929,would,1,ἂν,
24,102426932,be,1,εἴητε,
25,102426933,exactly,1,τοιαῦτα,
26,102426934,such,1,πεπονθότες,
27,102426937,For,2,γὰρ,
28,102426936,I,2,εὖ,
29,102426938,know,2,οἶδ’,
30,102426939,that,2,ὅτι,
31,102426941,if,2,εἰ,
32,102426942,you,2,τὴν,
33,102426943,held,2,αὐτὴν,
34,102426944,the,2,γνώμην,
35,102426945,same,2,περὶ,
36,102426946,opinion,2,τῶν,
37,102426947,concerning,2,ἄλλων,
38,102426948,the,2,ἔχοιτε,
39,102426949,others,2,",",
40,102426950,as,2,ἥνπερ,
41,102426951,you,2,περὶ,
42,102426952,do,2,ὑμῶν,
43,102426953,concerning,2,αὐτῶν,
44,102426954,yourselves,2,",",
45,102426955,you,2,οὐκ,
46,102426956,would,2,ἂν,
47,102426957,not,2,εἴη,
48,102426958,be,2,.,
49,102426959,Whoever,3,ὅστις,
50,102426960,not,3,οὐκ,
51,102426961,be angry,3,ἐπὶ,
52,102426962,about,3,τοῖς,
53,102426963,what,3,γεγενημένοις,
54,102426964,has happened,3,ἀγανακτοίη,
55,102426966,but,3,ἀλλὰ,
56,102426967,all,3,πάντες,
57,102426968,would,3,ἂν,
58,102426969,think,3,περὶ,
59,102426970,that,3,τῶν,
60,102426971,the,3,τὰ,
61,102426972,punishments,3,τοιαῦτα,
62,102426973,for,3,ἐπιτηδευόντων,
63,102426974,those,3,τὰς,
64,102426975,who,3,ζημίας,
65,102426976,engage,3,μικρὰς,
66,102426977,in,3,ἡγοῖσθε,
67,102426978,such,3,.,
68,102426979,practices,3,,
69,102426980,are,3,,
70,102426981,small,3,,
71,102426979,And,4,καὶ,
72,102426980,these things,4,ταῦτα,
73,102426981,not,4,οὐκ,
74,102426982,would,4,ἂν,
75,102426983,be,4,εἴη,
76,102426988,known,4,ἐγνωσμένα,
77,102426986,you,4,ὑμῖν,
78,102426987,this way,4,οὕτως,
79,102426984,alone,4,μόνον,
80,102426990,but,4,ἀλλ’,
81,102426992,whole,4,ἁπάσῃ,
82,102426994,Greece,4,Ἑλλάδι,
83,102426999,alone,5,μόνου,
84,102426998,For,5,γὰρ,
85,102427009,punishment,5,τιμωρία,
86,102426996,regarding,5,περὶ,
87,102426997,this,5,τούτου,
88,102427001,crime,5,ἀδικήματος,
89,102427017,has been granted,5,ἀποδέδοται,
90,102427011,weakest,5,ἀσθενεστάτοις,
91,102427012,against,5,πρὸς,
92,102427013,those,5,τοὺς,
93,102427016,power,5,δυναμένους,
94,102427015,most,5,μέγιστα,
95,102427002,both,5,καὶ,
96,102427003,in,5,ἐν,
97,102427004,democracy,5,δημοκρατίᾳ,
98,102427005,and,5,καὶ,
