,greek_id,greek_word,gloss,sent_id
0,100880754,Ἡροδότου,of Herodotus,0
1,100880755,Ἁλικαρνησσέος,of Halicarnassus,0
2,100880756,ἱστορίης,inquiry,0
3,100880757,ἀπόδεξις,demonstration,0
4,100880758,ἥδε,this,0
5,100880759,",",",",0
6,100880760,ὡς,that,0
7,100880761,μή,not,0
8,100880762,-τε,and,0
9,100880763,τὰ,the,0
10,100880764,γενόμενα,things that came to be,0
11,100880765,ἐξ,from,0
12,100880766,ἀνθρώπων,human,0
13,100880767,τῷ,the,0
14,100880768,χρόνω,time,0
15,100880769,ἐξίτηλα,lost,0
16,100880770,γένηται,become,0
17,100880771,",",",",0
18,100880772,μή,not,0
19,100880773,-τε,-and,0
20,100880774,ἔργα,deeds,0
21,100880775,μεγάλα,great,0
22,100880776,τε,and,0
23,100880777,καὶ,and,0
24,100880778,θωμαστά,wonderful,0
25,100880779,",",",",0
26,100880780,τὰ,the,0
27,100880781,μὲν,on the one hand,0
28,100880782,Ἕλλησι,to the Greeks,0
29,100880783,τὰ,the,0
30,100880784,δὲ,but,0
31,100880785,βαρβάροισι,barbarians,0
32,100880786,ἀποδεχθέντα,having been received,0
33,100880787,",",",",0
34,100880788,ἀκλεᾶ,without glory,0
35,100880789,γένηται,become,0
36,100880790,",",",",0
37,100880791,τά,the,0
38,100880792,τε,and,0
39,100880793,ἄλλα,other things,0
40,100880794,καὶ,and,0
41,100880795,δι’,because of,0
42,100880796,ἣν,which,0
43,100880797,αἰτίην,reason,0
44,100880798,ἐπολέμησαν,they fought,0
45,100880799,ἀλλήλοισι,each other,0
46,100880800,.,.,0
47,100880801,Περσέων,of the Persians,1
48,100880802,μέν,on the one hand,1
49,100880803,νυν,now,1
50,100880804,οἱ,the,1
51,100880805,λόγιοι,learned men,1
52,100880806,Φοίνικας,Phoenicians,1
53,100880807,αἰτίους,responsible,1
54,100880808,φασὶ,they say,1
55,100880809,γενέσθαι,to become,1
56,100880810,τῆς,the,1
57,100880811,διαφορῆς,of the dispute,1
58,100880812,.,.,1
59,100880813,τούτους,these,2
60,100880814,γὰρ,for,2
61,100880815,ἀπὸ,from,2
62,100880816,τῆς,of the,2
63,100880817,Ἐρυθρῆς,Red,2
64,100880818,καλεομένης,called,2
65,100880819,θαλάσσης,sea,2
66,100880820,ἀπικομένους,having arrived,2
67,100880821,ἐπὶ,to,2
68,100880822,τήνδε,this,2
69,100880823,τὴν,the,2
70,100880824,θάλασσαν,sea,2
71,100880825,",",",",2
72,100880826,καὶ,and,2
73,100880827,οἰκήσαντας,settling,2
74,100880828,τοῦτον,this,2
75,100880829,τὸν,the,2
76,100880830,χῶρον,region,2
77,100880831,τὸν,the,2
78,100880832,καὶ,even,2
79,100880833,νῦν,now,2
80,100880834,οἰκέουσι,inhabit,2
81,100880835,",",",",2
82,100880836,αὐτίκα,immediately,2
83,100880837,ναυτιλίῃσι,voyages,2
84,100880838,μακρῇσι,long,2
85,100880839,ἐπιθέσθαι,to attack,2
86,100880840,",",",",2
87,100880841,ἀπαγινέοντας,bringing away,2
88,100880842,δὲ,but,2
89,100880843,φορτία,cargoes,2
90,100880844,Αἰγύπτιά,Egyptian,2
91,100880845,τε,and,2
92,100880846,καὶ,and,2
93,100880847,Ἀσσύρια,Assyrian,2
94,100880848,τῇ,the,2
