,translation,notes,sent_id
0,"Thucydides the Athenian wrote of the war between the Peloponnesians and the Athenians, how they fought against one another, beginning at the very moment it broke out and expecting that it would be great and more noteworthy than any war that had happened before, inferring that both sides were at their peak in all preparations for it at that time, and seeing the rest of the Greek world assembling against each side, some at once, others in contemplation.","This famous sentence serves as the author's proem to the entire work. Stylistically, it is a masterpiece of periodic structure, where the main verb (ξυνέγραψε, 'wrote') is delayed until the end of a long, complex sentence containing multiple participial phrases (αρχάμενος, ελπίσας, τεκμαιρόμενος, ὁρῶν) that explain the circumstances and motivations for the writing. The text employs a clear chiasmus in the final clause: 'το μὲν εὐθύς, τὸ δὲ καὶ διανοούμενον' (the one part at once, the other part in contemplation), contrasting immediate action with future planning. The use of αἰχμῶν (at their peak/prime) highlights the intensity of the conflict. The phrase 'greater than any war that had happened before' (μείζων ... τῶν προγεγενημένων) establishes the historical significance Thucydides attributes to the Peloponnesian War, while the participle διανοούμενον (in contemplation/planning) captures the hesitation of some Greek states before fully committing to the conflict.",0
1,"For this movement was indeed the greatest among the Greeks, and in a sense among the barbarians, and I would say even among most of mankind.","The sentence employs the postpositive particle γάρ to provide a causal explanation, a common feature in Thucydidean historiography to justify the significance of an event. The adjective μεγίστη is strengthened by the particle δή, which here adds emphasis to the superlative claim. The phrase μερί τινι (in a certain part) is an idiomatic expression used to qualify a superlative, suggesting that while the event was the greatest for the Greeks, it only constituted a 'part' of the larger impact on the barbarians, or perhaps that it was the greatest only in a specific respect. The construction ὠς δε εἰπεῖν (as one might say) is a rhetorical device used to introduce a hyperbolic or more expansive claim, signaling a shift from a specific group (Greeks and barbarians) to a universal scope (most of mankind). The sentence utilizes a progressive expansion of scope (Greeks → barbarians → all mankind) to maximize the perceived magnitude of the event, a stylistic technique often found in Thucydides to underscore the unprecedented nature of the Peloponnesian War.",1
2,"For what happened before them and even earlier things is not possible to find out clearly, for a great number of years have passed; but from proofs which, upon careful scrutiny, seem to me worthy of belief, it happens that I do not think that events either in war or in other matters became great.","This sentence is a famous methodological statement by Thucydides regarding the reliability of historical evidence. The syntax features a complex coordination: the first clause (introduced by γάρ) states the impossibility of verifying ancient events due to the passage of time (χρόνου πληθος). The second clause (introduced by εἰκ δὲ) contrasts this with the limited reliability of surviving evidence (τεκμήρια). The phrase ἐπὶ μακρότατον σκοποῦντι μοι ('to me, upon the most careful scrutiny') uses a dative of the participle with a dative of the person (μοι), emphasizing the author's personal epistemological standard. The sentence employs a chiasmic structure in the final negative clause (οὔτε... οὔτε...), negating both military and non-military events to assert the modesty of his findings. The use of ἄδυνατα (impossible) and οὐ μεγάλα (not great) reflects Thucydides' characteristic skepticism and his rejection of the exaggerated narratives common in earlier poetic or local traditions. The construction ξυμβαίνει ('it happens') followed by the infinitive πιστεῦσαι and the clause νομίζω ('I think') creates a nuanced expression of probabilistic knowledge rather than absolute certainty.",2
3,"For it appears that the land now called Hellas has not in the past been inhabited with stability, but rather that there have been migrations in earlier times, and that individuals have easily abandoned their own homes, being forced by certain people who are always increasing in number.","This sentence employs a balanced structure contrasting the present state of 'Hellas' with its historical instability. The use of the neuter plural substantive 'τὰ πρότερα' (the earlier things/past) functions adverbially to mean 'in earlier times.' The construction 'μεταναστάσεις τε οὐσάι' (migrations being) introduces a nominalized clause that serves as the true subject of the second part of the comparison, paralleled by the participle 'ἀπολείποντες' (abandoning). The phrase 'ἕκαστοι' (each one/individuals) is used substantively to emphasize individual agency in the face of external pressure. The genitive absolute-like construction 'βιαζόμενοι ὑπό τινων' (being forced by certain ones) highlights the causal agent of the migration. The modifier 'αἰεὶ πλειόνων' (always increasing/more numerous) attached to 'τίνων' creates a sense of relentless demographic pressure, a recurring theme in Thucydides regarding the instability of the Greek world prior to the Persian Wars and the rise of city-states. The sentence utilizes asyndeton (omission of conjunctions) in the transition between the description of the past and the explanation of the causes, enhancing the rhythmic flow of the historical argument.",3
4,"For since there was no commerce, and they did not mingle freely with one another, neither on land nor by sea, but each lived off his own resources, having neither surplus of money nor cultivating the land, it was uncertain when someone might arrive and, since they were unfortified, seize something from another; and since they believed they could easily dominate everywhere in terms of their daily necessities, they departed without difficulty, and because of this they neither had strength in the size of their cities nor in mutual preparation.","This passage illustrates Thucydides' characteristic historical analysis of the pre-urban Greek condition, emphasizing the causal link between economic isolation and military weakness. Syntactically, the sentence is a complex period built on a series of participial phrases (ἐπιμειγνύντες, νεμόμενοι, ἔχοντες, φυτεύοντες, ἄδηλον ὂν, ἡγούμενοι) that provide the rationale for the main verbs (ἀπανίσταντο, ἴσχυον). The author employs a chiastic structure in the enumeration of movement ('neither on land nor by sea') and a similar parallelism in the final clause ('neither in size... nor in preparation'). The phrase 'neither... nor... neither... nor' (οὐ... οὐδ'... οὐ... οὐ... οὐ... οὐ) creates a heavy, cumulative rhythm that mirrors the constrained existence being described. The use of the imperfect indicative (ἀπανίσταντο, ἴσχυον) with the particle ἀν (in the relative clause ὁπότε τις ἐπελθὼν... ἀφαιρήσεται) indicates repeated or customary action in the past, reflecting a general state of affairs rather than a single event. The term 'ἀτειχίστων' (unfortified) is a key cultural marker, highlighting the vulnerability of these early communities compared to the fortified poleis of the author's own time.",4
5,"Most of all, that land which has always had the greatest changes of inhabitants is the best, namely Thessaly, as it is called today, and Boeotia, and most of the Peloponnese except Arcadia, and all the other regions that were the most powerful.","The sentence employs a comparative superlative structure (ἡ ἀρίστη) to evaluate land based on its historical capacity for population turnover (μεταβολὰς τῶν οἰκητόρων). The construction ἡ μάλιστα ἀρίστη (most of all the best) emphasizes the primacy of this specific criterion. The syntax utilizes a relative clause (ἥτις... εἶχεν) modified by the adverb αἰεί (always) to establish a timeless quality of the region. The text employs the enclitic τε... καὶ (both... and) to list the specific regions: Thessaly and Boeotia. The phrase τὰ πολλὰ (the most part) functions as a substantive adjective meaning 'the majority' or 'most of', modified by the preposition πλην (except) to exclude Arcadia, illustrating a common geographical exclusion in Thucydidean analysis. The final clause, ὅσα ἦν κράτιστα (all things that were strongest/most powerful), uses a relative pronoun with a neuter plural adjective to generalize the list to other powerful territories. Stylistically, the sentence reflects Thucydides' characteristic analytical tone, where political and military strength is inextricably linked to the instability and migration of populations rather than static geography. The use of the imperfect εἶχεν suggests a continuous state of affairs leading up to the present moment of the narrative.",5
6,"For through the excellence of the land, the powers of the cities, increasing in size, caused civil strifes from which they were destroyed, and at the same time they were more plotted against by foreigners.","This sentence presents a complex causal argument regarding the internal and external fragility of Greek city-states. The syntax relies on a heavy use of participles: 'increasing' (ἐγγιγνόμεναι) modifies 'powers' (δυνάμεις), while 'from which' (ἐξ ὧν) introduces a relative clause explaining the destructive consequence of the civil strife (στάσεις). The term ἀρετὴν γῆς (excellence of the land) is a specific historical concept referring to the fertility and resources of the territory, which enabled population growth and military expansion, ironically leading to the very instability that caused their ruin. The sentence employs asyndeton in the relative clause (omitting a conjunction before 'they were destroyed') to accelerate the narrative of inevitable destruction. Furthermore, the structure juxtaposes internal decay (civil strife) with external vulnerability (plots by foreigners) using the correlative adverbial phrase 'at the same time' (ἅμα) to emphasize that these two calamities occurred concurrently, compounding the city-state's downfall.",6
7,"Therefore, the Athenians have always inhabited Attica, because it was small and free from civil strife.","This sentence exemplifies Thucydides' characteristic use of historical reasoning to explain demographic patterns. The phrase 'πλεἰστον' (most) following 'ἐκ' (from) is an elliptical construction implying 'for the longest time' or 'from earliest times,' which is a common idiomatic usage in historical narratives to denote antiquity. The adjective 'λεπτόγεων' (small/low-lying) is a hapax legomenon in this specific context, functioning here to describe the physical limitation of the land, which paradoxically served as a defense against civil war ('ἀστασίαστον'). The syntax relies on a causal clause ('διὰ...') explaining the main verb's state, embedded within a participial phrase ('οὖσαν') that modifies the subject. The sentence demonstrates a balanced rhythm and logical progression typical of Thucydidean historiography, where physical geography is directly linked to social stability.",7
8,And this example of the narrative is by no means the least important because of the migrations into other places not having increased alike.,"The sentence features the conjunction 'καί' (and) used in a connective, yet slightly emphatic, sense often found in historiography to link a specific illustration to a broader argument. The phrase 'οὐκ ἐλάχιστον' (not the least) is a litotes, a figure of speech employing double negative to express a strong positive assertion, here emphasizing the significant importance of the example. The construction 'δια' + accusative plural (διαὰ τὰς μετοικίας) introduces the causal agent or reason. The phrase 'οὐχ ὁμοίως αὐξηθῆναι' utilizes an infinitive of result or consequence dependent on the causal preposition, where the negation 'μή' (here 'οὐ' implied by context or 'οὐχ' in other readings, though the text has 'οὐ' with 'ἔλαχιστον' and 'μή' with the infinitive) creates a specific negative expectation: the migrations did not lead to a proportional increase. The adjective 'ἄλλα' (other) functions substantively as 'other places' or 'other cities.' The syntax reflects the dense, analytical style characteristic of Thucydides, where complex causal relationships are packed into single sentences.",8
9,"For those who were the most powerful from the rest of Greece, being driven out by war or civil strife, retired to Athens, considering it a secure refuge, and, becoming citizens, immediately made the city even larger in the number of its people, so that later, as Attica was deemed insufficient for the colonies, they sent out [new] colonies to Ionia.","The sentence employs a complex causal structure initiated by γάρ (for), explaining the demographic surge in Athens. The participle ἐκπιπτόντες (being driven out/falling out) governs the action of fleeing to Athens, a common metaphor for political expulsion. The phrase ὡς βέβαιον ὄν (as being secure) is a circumstantial accusative construction expressing the reason or circumstance for their retreat. The sentence utilizes asyndeton (the omission of conjunctions) between the participle γινόμενοι (becoming) and the adverb εὐθύς (immediately) to create a sense of rapid, seamless transition from exile to citizenship. Furthermore, the construction ὥστε (so that) introduces a result clause that explains the long-term consequence of this demographic influx: the necessity of further colonization. The use of the genitive absolute construction (οὐσης τῆς Ἀττικῆς) within the result clause highlights the insufficiency of the motherland, driving the imperial expansion into Ionia.",9
