,greek_id,greek_word,gloss,sent_id
0,100309159,Θουκυδίδης,Thucydides,0
1,100309160,Ἀθηναῖος,Athenian,0
2,100309161,ξυνέγραψε,wrote,0
3,100309162,τὸν,the,0
4,100309163,πόλεμον,war,0
5,100309164,τῶν,of the,0
6,100309165,Πελοποννησίων,of the Peloponnesians,0
7,100309166,καὶ,and,0
8,100309167,Ἀθηναίων,Athenian,0
9,100309168,",",",",0
10,100309169,ὡς,how,0
11,100309170,ἐπολέμησαν,they fought,0
12,100309171,πρὸς,against,0
13,100309172,ἀλλήλους,each other,0
14,100309173,",",",",0
15,100309174,ἀρξάμενος,beginning,0
16,100309175,εὐθὺς,immediately,0
17,100309176,καθισταμένου,being established,0
18,100309177,καὶ,and,0
19,100309178,ἐλπίσας,expecting,0
20,100309179,μέγαν,great,0
21,100309180,τε,and,0
22,100309181,ἔσεσθαι,to be,0
23,100309182,καὶ,and,0
24,100309183,ἀξιολογώτατον,most worthy of consideration,0
25,100309184,τῶν,of the,0
26,100309185,προγεγενημένων,previous,0
27,100309186,",",",",0
28,100309187,τεκμαιρόμενος,inferring,0
29,100309188,ὅτι,that,0
30,100309189,ἀκμάζοντές,being in their prime,0
31,100309190,τε,-te,0
32,100309191,ᾖσαν,were,0
33,100309192,ἐς,toward,0
34,100309193,αὐτὸν,it,0
35,100309194,ἀμφότεροι,both,0
36,100309195,παρασκευῇ,preparation,0
37,100309196,τῇ,the,0
38,100309197,πάσῃ,every,0
39,100309198,καὶ,and,0
40,100309199,τὸ,the,0
41,100309200,ἄλλο,other,0
42,100309201,Ἑλληνικὸν,Hellenic,0
43,100309202,ὁρῶν,seeing,0
44,100309203,ξυνιστάμενον,being assembled,0
45,100309204,πρὸς,towards,0
46,100309205,ἑκατέρους,both sides,0
47,100309206,",",",",0
48,100309207,τὸ,the one,0
49,100309208,μὲν,on the one hand,0
50,100309209,εὐθύς,straightaway,0
51,100309210,",",",",0
52,100309211,τὸ,the,0
53,100309212,δὲ,but,0
54,100309213,καὶ,and,0
55,100309214,διανοούμενον,planning,0
56,100309215,.,.,0
57,100309216,κίνησις,movement,1
