,greek_id,english_word,sent_id,greek_word,alignments,gloss
0,110146213,In,0,ἐν,,
1,110146214,beginning,0,ἀρχῇ,,
2,110146215,was,0,ἦν,,
3,110146216,the,0,ὁ,,
4,110146217,Word,0,λόγος,,
5,110146219,and,0,καὶ,,
6,110146220,the,0,ὁ,,
7,110146221,Word,0,λόγος,,
8,110146222,was,0,ἦν,,
9,110146223,with,0,πρὸς,,
10,110146224,God,0,τὸν,,
11,110146225,God,0,θεόν,,
12,110146227,and,0,καὶ,,
13,110146228,God,0,θεὸς,,
14,110146229,was,0,ἦν,,
15,110146230,the,0,ὁ,,
16,110146231,Word,0,λόγος,,
17,110146233,This,1,οὗτος,,
18,110146234,one,1,ἦν,,
19,110146235,was,1,ἐν,,
20,110146236,in,1,ἀρχῇ,,
21,110146237,the,1,πρὸς,,
22,110146238,beginning,1,τὸν,,
23,110146239,with,1,θεόν,,
24,110146240,God,1,.,,
25,110146241,All,2,πάντα,,
26,110146242,through,2,δι’,,
27,110146243,him,2,αὐτοῦ,,
28,110146244,came into being,2,ἐγένετο,,
29,110146246,and,2,καὶ,,
30,110146247,without,2,χωρὶς,,
31,110146248,him,2,αὐτοῦ,,
32,110146250,not,2,οὐ,,
33,110146251,one,2,-δὲ,,
34,110146252,thing,2,ἕν,,
35,110146249,came into being,2,ἐγένετο,,
36,110146253,that,2,ὃ,,
37,110146254,has come into being,2,γέγονεν,,
38,110146256,In,3,ἐν,,
39,110146257,him,3,αὐτῷ,,
40,110146258,life,3,ζωὴ,,
41,110146259,is,3,ἐστιν,,
42,110146261,and,3,καὶ,,
43,110146262,the,3,ἡ,,
44,110146263,life,3,ζωὴ,,
45,110146264,was,3,ἦν,,
46,110146265,the,3,τὸ,,
47,110146266,light,3,φῶς,,
48,110146267,of,3,τῶν,,
49,110146268,men,3,ἀνθρώπων,,
50,110146270,And,4,καὶ,,
51,110146271,the,4,τὸ,,
52,110146272,light,4,φῶς,,
53,110146276,shines,4,φαίνει,,
54,110146273,in,4,ἐν,,
55,110146274,the,4,τῇ,,
56,110146275,darkness,4,σκοτίᾳ,,
57,110146278,and,4,καὶ,,
58,110146279,the,4,ἡ,,
59,110146280,darkness,4,σκοτία,,
60,110146282,did not,4,οὐ,,
61,110146283,overcome,4,κατέλαβεν,,
62,110146281,it,4,αὐτὸ,,
63,110146285,came,5,ἐγένετο,,
64,110146286,a man,5,ἄνθρωπος,,
65,110146288,sent,5,ἀπεσταλμένος,,
66,110146289,from,5,παρὰ,,
67,110146290,God,5,θεοῦ,,
68,110146292,name,5,ὄνομα,,
69,110146293,was,5,αὐτῷ,,
70,110146294,John,5,Ἰωάννης,,
71,110146296,This,6,οὗτος,,
72,110146297,came,6,ἦλθεν,,
73,110146298,into,6,εἰς,,
74,110146299,testimony,6,μαρτυρίαν,,
75,110146301,so,6,ἵνα,,
76,110146302,testify,6,μαρτυρήσῃ,,
77,110146303,concerning,6,περὶ,,
78,110146304,the,6,τοῦ,,
79,110146305,light,6,φωτός,,
80,110146307,so,6,ἵνα,,
81,110146308,all,6,πάντες,,
