,translation,notes,sent_id
12,"And the Word became flesh and dwelt among us, and we have beheld his glory, glory as of a unique one from a father, full of grace and truth.","The sentence employs a distinct asyndetic structure in the final clause, where the adjective 'πλήρης' (full) governs the genitive nouns 'χάριτος' (grace) and 'ἀληθείας' (truth) without an explicit conjunction between the adjective and the first noun, though 'καί' links the two genitives. The term 'μονογενούς' (unique/only-begotten) is a key theological descriptor, emphasizing singularity of origin. The verb 'ἐσκήνωσεν' (dwelt) is a deliberate play on words, literally meaning 'pitched a tent' or 'tabernacled,' evoking the Old Testament imagery of the Tabernacle (σκηνή) where God's presence resided among the Israelites. The repetition of 'δόξαν' (glory) creates a stylistic emphasis known as epizeuxis or a form of anadiplosis, highlighting the nature of the glory witnessed. The syntax features a series of coordinated verbs (ἐγένετο, ἐσκήνωσεν, ἐθεασάμεθα) linked by 'καί', creating a rhythmic progression of events from incarnation to indwelling to witnessing.",12
13,"John testifies about himself, and he has cried out, saying.","The sentence employs a compound predicate structure coordinated by 'kai' (and), linking the present indicative 'marturei' (testifies) with the perfect indicative 'kekragen' (has cried out). The perfect tense of 'krazo' emphasizes the enduring result or authority of the shout, rather than merely the past action. The prepositional phrase 'peri autou' (about himself) modifies the verb 'marturei'. The participle 'legon' (saying) is in the present active participle form, functioning adverbially to indicate the content accompanying the action of crying out. The syntax reflects a direct narrative style common in Hellenistic Greek, where the participle provides immediate elaboration on the main verb's action. The use of 'kekragen' (perfect) alongside 'marturei' (present) creates a temporal layering, suggesting that the act of shouting has occurred and continues to hold weight in the present context.",13
14,This is what was said.,"The sentence utilizes a relative clause construction where the participle ὄν (being) functions substantively as the direct object of the verb εἶπον (I said). The demonstrative pronoun οὗτος (this) serves as the subject of the imperfect copula ἦν, creating a presentative structure ('This is...'). The use of the imperfect tense for ἦν suggests a continuous or descriptive state ('was' or 'is' in a narrative present), while the aorist εἶπον points to a specific, completed act of speaking. The participle ὄν agrees in gender, number, and case with the implied antecedent of the relative sense, acting as the content of the speech. This construction is common in narrative contexts to introduce a quote or summarize a statement previously made.",14
15,"He who comes after me has become before me, because he was first.","The sentence presents a striking theological paradox through the juxtaposition of temporal and spatial prepositions. The phrase 'ὁ ὀπίσω μου ἐρχόμενος' (he coming after me) is contrasted with 'ἔμπροσθεν μου' (before me), creating a chiasmic structure where the order of arrival is inverted by the order of status. The verb γίγνομαι (to become) in the perfect tense (γεγόνεν) indicates a completed action with lasting results: the one who arrived later has already assumed a position of precedence. The causal clause introduced by ὅτι (because) provides the rationale: the superiority of the second-comer is rooted in his primordial existence (πρώτος, 'first'). This construction relies on the genitive case with both prepositions (μου) to denote the reference point. The use of the imperfect ἦν (he was) in the subordinate clause contrasts with the perfect main verb, emphasizing that the 'first' status is an eternal or prior condition, while the 'becoming before' is the realized consequence in the current narrative context.",15
16,"because from his fullness we all received, and grace upon grace.","The sentence employs the adverbial phrase 'χαρίν ἀντὶ χάριτος' (grace for grace), a distinctive idiom in Koine Greek meaning 'grace upon grace' or 'grace in place of grace,' indicating an abundant, continuous succession of divine favor rather than a simple exchange. The genitive construction 'τοῦ πληρώματος αὐτοῦ' (from his fullness) utilizes the noun πλήρωμα, which in this theological context signifies the totality of divine attributes or the fullness of the Logos. The syntax features a causal clause introduced by ὅτι, followed by a main verb in the aorist indicative (ἐλάβομεν) that is coordinated with an elliptical second clause; the second clause omits the verb 'received' (λαβεῖν), relying on the reader to supply it from the first clause, a common feature in Koine for emphasis and rhythm. The repetition of the root χαρ- in 'χαρίν' and 'χάριτος' creates a subtle alliteration that reinforces the theme of grace.",16
17,"For the law was given through Moses, but grace and truth came to be through Jesus Christ.","This sentence employs a striking chiasmus in its syntactic structure, contrasting the prepositional phrases: the first clause places the agent of giving ('through Moses') after the verb, while the second clause places the agent of becoming ('through Jesus Christ') after the verb as well, creating a parallel balance. The conjunction 'καί' (and) links 'grace' and 'truth' as a hendiadys, a rhetorical device where two nouns are joined to express a single complex idea, emphasizing the inseparable nature of these concepts in this theological context. The verb 'ἐδόθη' (was given) is aorist passive, indicating a completed action in the past, whereas 'ἐγένετο' (came to be) is aorist middle/passive, suggesting the realization or manifestation of these qualities. The use of 'ὅτι' (for) at the beginning introduces this statement as a causal explanation or a foundational premise for the preceding discourse. The sentence reflects a key theological transition in the Johannine literature, contrasting the old covenant mediated by Moses with the new reality established through Jesus Christ.",17
18,No one has ever seen God.,"The sentence features a classic negative construction where the indefinite pronoun οὐδεὶς (no one) functions as the subject, negating the verb. The verb ἑώρακεν is in the perfect active indicative third person singular; the perfect tense here emphasizes the state resulting from the action—implying that up to the present moment, and continuing into the future, the experience of seeing God remains unattained. The adverb πώποτε (ever) reinforces the universal scope of the negation. Stylistically, the sentence employs asyndeton by placing the direct object θεόν before the subject οὐδεὶς, creating a focus on the object (God) and establishing a solemn, declarative tone typical of wisdom literature and theological discourse. The syntax places the object in the prominent initial position, a feature often used in Greek to highlight the entity being discussed or to create a dramatic pause before the negation is delivered.",18
19,"The only-begotten Son, who is in the bosom of the Father, he himself has made him known.","The sentence employs a complex noun phrase as the subject, beginning with the definite article and the adjective 'only-begotten' (μονογενής), a term theologically significant in Christian discourse denoting unique relationship rather than biological generation. The participle 'being' (ὤν) with the preposition 'into' (εἰς) and the accusative 'bosom' (κόλπον) creates a locative image of intimate proximity and shared nature between the Son and the Father. The use of the personal pronoun 'that one' (ἐκεῖνος) as the subject of the main verb serves as an emphatic anaphoric reference, reasserting the identity of the Son after the long descriptive clause. The verb 'made known' (ἐξηγήσατο) is in the aorist middle voice; the middle voice here suggests the action is performed for the benefit of others or with a reflexive nuance of self-revelation, while the aorist tense marks a completed, decisive act of revelation. The syntax features a heavy nominal subject followed by a finite verb, creating a solemn, declarative rhythm typical of high theological discourse.",19
20,"And this is the testimony of John, when the Jews sent priests and Levites from Jerusalem to ask him.","The sentence employs a causal-temporal clause introduced by οὔτε (οὔτε is not present, but οὔτε... is not the case here; rather, ὅτε introduces a temporal clause meaning 'when') to explain the origin of the testimony. The use of ἵνα with the aorist subjunctive (ἐρωτήσωσιν) indicates purpose: the delegation was sent specifically for the intent of questioning. The term 'Jews' (Ἰουδαῖοι) in this context refers to the religious authorities in Judea, specifically those from Jerusalem. The pairing of 'priests and Levites' reflects the hierarchical structure of the Temple hierarchy, with priests (ἱερεῖς) being the primary officiants and Levites (Λευίτας) serving in subordinate roles. The sentence structure is straightforward, with a main clause followed by a temporal clause that provides background context for the testimony.",20
21,Are you he?,"This sentence consists of the second-person singular pronoun 'σύ' (you), the interrogative pronoun 'τίς' (who/he), and the copula 'ἐστί' (is) in the present indicative active, second person singular. The word order is inverted, placing the subject 'σύ' before the predicate nominative 'τίς', which is a common structure in Ancient Greek for emphasis or to indicate a direct question. The use of 'τίς' here functions as a predicate nominative, asking for the identity of the subject. This construction is typical in interrogative sentences where the speaker is seeking clarification about someone's identity or role.",21
22,"And he confessed, and did not deny, but he confessed that I am not the Christ.","This sentence exhibits a distinct rhetorical structure through the repetition of the verb 'confessed' (ὡμολόγησεν) in a chiastic or reinforcing pattern: 'he confessed, and did not deny, but he confessed.' The use of the conjunction 'but' (καί in this context, functioning adversatively or emphatically to introduce a clarification) highlights the transition from a general statement of truthfulness to the specific content of that confession. The phrase 'I am not the Christ' (ἐγὼ οὐκ εἰμὶ ὁ Χριστός) utilizes the definite article with the predicate noun 'Christ,' emphasizing the specific identity being denied. The syntax employs the present indicative 'I am' (εἰμί) within the reported speech introduced by 'that' (ὅτι), maintaining the timeless nature of the denial regarding the speaker's identity. The stylistic effect creates a solemn emphasis on the witness's integrity and the clarity of the negation.",22
23,And they asked him.,"The sentence begins with the coordinating conjunction 'καί' (and), which here functions to link this query to a preceding action or dialogue, a common feature in the narrative flow of the Gospel of John to maintain continuity. The verb 'ἠρώτησαν' is in the aorist indicative active, third person plural, indicating a completed, punctiliar action performed by a group of people (likely the disciples or a crowd, depending on the immediate context). The object 'αὐτόν' (him) is the masculine singular accusative of the pronoun 'αὐτός', referring to the subject of the preceding discourse (Jesus). The syntax is straightforward: Subject (implied from context) + Verb + Direct Object. The use of the aorist tense suggests a specific, historical inquiry within the narrative timeline rather than a repeated or habitual action.",23
24,What then?,"The interrogative pronoun τίς (tís) in the neuter accusative singular τί (tí) functions here as an adverbial question meaning 'what?' or 'how?', often introducing a logical consequence or a pivot in thought. The postpositive particle οὖν (oûn) follows the first word, as is standard for this enclitic particle, to indicate inference or transition, translating to 'then' or 'therefore.' The phrase is a classic example of asyndeton, where the lack of a connecting verb or conjunction creates a stark, immediate rhetorical pause, forcing the reader to consider the preceding context before the implication is fully stated. This construction is frequently used in dialectical or argumentative contexts to signal a shift in reasoning or to ask for clarification based on prior statements.",24
25,Is it Elijah?,"The sentence utilizes the copula εἰμί (eimi) in the third person singular present indicative active, which is often omitted in the nominative but explicitly stated here for emphasis or clarity in a question. The subject Ἠλίας (Elias) is in the nominative case, functioning as the predicate nominative (PNOM) to the verb. The sentence is a simple interrogative, indicated by the context and the semicolon which serves as a question mark in this specific transcription style. The use of the full name 'Elijah' rather than a pronoun suggests a moment of identification or recognition, where the speaker is seeking confirmation of the identity of the person before them. In the cultural context of the New Testament, this reflects the Jewish expectation of the return of the prophet Elijah (cf. Malachi 4:5-6), a theme often associated with the figure of John the Baptist.",25
26,He says.,"The verb λέγει is in the present indicative active, third person singular. In the context of the Gospel of John, this form frequently introduces a dialogue or a direct statement from a character (such as Jesus, John the Baptist, or a Pharisee), often functioning as a narrative marker to advance the conversation. The use of the present tense here suggests immediacy, placing the reader directly into the moment of speech. The sentence relies heavily on context to identify the subject, as the verb ending (-ει) alone indicates 'he' or 'she' (though in this context, it is almost exclusively 'he'). This brevity is characteristic of Johannine style, which often uses simple, direct speech introductions to focus attention on the content of the discourse rather than the speaker's identity or actions.",26
27,I am not.,"This is a concise, elliptical negative response using the verb 'to be' (eimi) in the first person singular present indicative active. The negation 'ouk' is used here instead of 'ou' because the following word begins with a vowel, triggering the aspirate form. The sentence stands alone as a complete declaration of non-existence or denial of a predicate implied by the context. In the Johannine narrative, this specific phrase is the humble self-identification of John the Baptist when asked if he is the Christ or Elijah, emphasizing his subordinate role through a stark, unadorned denial. The brevity of the sentence creates a powerful rhetorical pause, contrasting with the complex theological questions often preceding such answers in the Gospel.",27
28,Are you the prophet?,"The sentence employs a straightforward subject-verb inversion (anastrophe of the subject 'you' after the verb 'are'), a common feature in Greek questions where the interrogative particle is absent but implied by word order and intonation. The definite article 'the' (ὁ) preceding 'prophet' suggests a specific, well-known figure rather than a generic one; in the context of Second Temple Judaism and the Johannine narrative, this likely alludes to the prophetic figure promised in Deuteronomy 18:15 ('a prophet like me') or the expectation of Elijah's return. The use of the second-person singular pronoun 'you' (σύ) is emphatic, often used in dialogue to highlight the identity of the addressee against a backdrop of popular speculation. The syntax is a simple copular clause with the noun in the predicate nominative position, and the question mark indicates an interrogative mood without the use of the enclitic particle ἆρα or οὐ.",28
29,And he answered.,"The sentence begins with the coordinating conjunction 'καί' (kai), which here functions as a narrative connector, often translated as 'and' or 'now,' linking this action to the preceding context. The verb 'ἀπεκρίθη' (apekrithē) is the aorist passive indicative, third person singular of 'ἀποκρίνομαι' (apokrinomai). In Koine Greek, particularly in the New Testament, this verb frequently appears in the passive form even when the agent is not explicitly stated, functioning as a deponent or semi-deponent form to mean 'he answered' or 'he replied.' The aorist tense indicates a simple, completed action in the past, typical of narrative sequences. The sentence is syntactically simple and paratactic, relying on the conjunction to establish its relationship with the previous clause. The period at the end marks the conclusion of a complete thought or a brief narrative beat.",29
30,Not.,"This sentence consists solely of the negative particle οὐ (ou), which is used to negate indicative statements, followed by a period. In the context of Johannine literature (specifically John 1:3, though the input text appears truncated or is a fragment representing the start of a clause), οὐ functions as a strong denial. The form οὔ with the accent indicates its position as an enclitic or its specific emphatic usage in certain manuscript traditions, though standard Attic and Koine orthography typically writes it as οὐ. The absence of a finite verb here suggests this is either a fragmentary citation, a heading, or a rhetorical pause where the negation stands alone to emphasize a subsequent affirmation (e.g., 'Not [by him]...' or 'Not [by nature]...'). Stylistically, the brevity serves as a sharp, definitive negation, characteristic of the apophatic or corrective tone often found in theological dialogues within the New Testament.",30
31,So they said to him.,"The verb εἶπαν is the aorist indicative active, third person plural of λέγω (to say/speak). In the Koine Greek of the New Testament, the aorist tense often marks the occurrence of the action in the narrative flow without specifying duration. The particle οὖν functions as a connective, indicating inference or sequence ('therefore,' 'so,' 'then'), linking this utterance to the preceding context. The pronoun αὐτῷ is in the dative case, functioning as an indirect object (dative of reference) to indicate the recipient of the speech. The syntax is straightforward and paratactic, typical of the narrative style found in the Gospels, which often favors brevity and directness over complex subordination. No specific literary devices such as chiasmus or asyndeton are present in this isolated clause.",31
32,Who is he?,"The sentence consists of the interrogative pronoun τίς (tís), in the nominative masculine singular, serving as the predicate nominative, and the copula εἰμί (eimi), in the second person singular present indicative. The verb is often omitted in Greek when the subject is clear from context, but here it is explicitly stated, emphasizing the question of identity. The use of the enclitic form εἰ̓͂ (with a circumflex accent) indicates the present tense and adds a sense of immediacy or emphasis to the inquiry. The sentence is a direct question, likely seeking clarification about a person's identity or role, which is a common feature in dialogues where characters seek to understand the nature or origin of another figure.",32
33,in order that we may give an answer to those who sent us.,"The sentence begins with the particle ἵνα (hina), which introduces a final clause expressing purpose or result, followed by the present active subjunctive δωμεν (dōmen, 'we may give'). The noun ἀπόκρισιν (apokrisin, 'answer' or 'response') is the direct object of the verb. The phrase τοῖς πέμψασιν ἡμᾶς (tois pēpsasin hēmas) is a dative participle construction functioning as the indirect object; πέμψασιν is the aorist active participle of πέμπω ('to send'), agreeing in case, number, and gender with the definite article τοῖς. The pronoun ἡμᾶς (hēmas, 'us') is the accusative object of the participle, indicating that 'we' are the ones sent. This structure is common in Koine Greek for expressing delegation or mission. The sentence is concise and lacks conjunctions between clauses (asyndeton), emphasizing the directness of the purpose. The use of the aorist participle πέμψασιν suggests a completed action in the past relative to the main verb.",33
34,What do you say about yourself?,"The sentence employs an interrogative structure typical of Koine Greek dialogue, where the question word τί (what) functions as the direct object of the verb λέγεις (you say). The preposition περί (about, concerning) governs the reflexive pronoun σεαυτοῦ (yourself), which is in the genitive case, indicating the sphere or topic of the speech. The use of the second-person singular verb form addresses an individual directly, suggesting a personal inquiry or challenge. The syntax is straightforward, with the interrogative pronoun placed at the beginning for emphasis, a common feature in Greek questions to highlight the unknown element being sought.",34
35,He said.,"The verb ἔφη is the imperfect indicative active, third person singular of φημί (to say). In Koine Greek, particularly in the Gospels, the imperfect tense often functions as a narrative marker to introduce direct speech or to indicate a repeated or continuous action in the past. Here, it serves as a simple narrative predicate introducing a statement, typical of the dialogue structure in John's Gospel. The sentence is extremely concise, consisting solely of the verb and a period, reflecting the direct and unadorned style of biblical narrative. No subject pronoun is present, as the third-person singular verb ending provides the necessary grammatical information.",35
36,I am the voice of one crying out in the wilderness.,"This sentence presents a nominal predicate construction where the subject 'I' (ἐγώ) is equated with the noun 'voice' (φωνή) via the copula implied in the present tense context. The participle βοῶντος (of one crying out) is in the genitive case, functioning as an attribute modifying 'voice,' effectively creating a partitive or descriptive genitive construction ('voice of a voice-crying one'). The prepositional phrase ἐν τῇ ἐρήμῳ (in the wilderness) uses the definite article with the feminine dative singular to specify the location. Stylistically, the sentence employs a direct, first-person declaration that personifies the speaker not as the source of the message, but as the medium (the voice) itself. The term 'wilderness' (ἐρήμῳ) carries significant cultural and theological weight, evoking the prophetic tradition of Isaiah where a voice prepares the way in the desert, symbolizing a place of spiritual preparation or isolation rather than mere physical desolation. The syntax is compact, utilizing a genitive absolute-like structure for the participle to define the nature of the voice without a finite verb.",36
37,"Make straight the way of the Lord, just as the prophet Isaiah said.","The sentence begins with an aorist imperative verb (εὐθύνετε), which functions as a hortatory command to prepare or straighten a path. The phrase 'the way of the Lord' (τὴν ὁδὸν κυρίου) is a significant theological and cultural idiom referring to the preparation for divine intervention or judgment, echoing themes found in the Hebrew prophetic tradition. The clause introduced by καθὼς (just as/as) provides an authoritative citation from the prophet Isaiah, establishing the command's scriptural basis. The use of the definite article with the proper name (ὁ προφήτης Ἠσαΐας) emphasizes the specific identity and role of the speaker within the prophetic tradition. This construction is characteristic of New Testament style, where prophetic fulfillment is often cited to validate present actions or teachings.",37
38,And they had been sent from the Pharisees.,"The sentence employs a periphrastic construction using the perfect passive participle (ἀπεσταλμένοι) combined with the imperfect indicative of the verb 'to be' (ἦσαν). This structure emphasizes the completed action with ongoing relevance or a state resulting from that action in the past narrative context. The preposition ἐκ (ek) governs the genitive plural Φαρισαιῶν, indicating the source or origin of the sending. The plural masculine nominative participle agrees with the implied subject 'they' (likely referring to messengers mentioned in the preceding context), while the verb ἦσαν carries the imperfect tense, setting the scene within a past narrative framework. The initial conjunction καί (kai) functions to connect this statement to previous discourse, maintaining narrative flow.",38
39,And they questioned him and said to him.,"This sentence exhibits a classic example of asyndeton avoidance through the use of the copulative conjunction 'καί' (and) to link two distinct verbal actions: 'ἐρώτησαν' (they questioned) and 'εἶπαν' (they said). While the verbs are semantically related, their coordination with 'καί' emphasizes the sequential and deliberate nature of the inquiry. The syntax features a double object construction: 'αὐτόν' (him) in the accusative case functions as the direct object of 'ἐρώτησαν', while 'αὐτῷ' (to him) in the dative case serves as the indirect object for 'εἶπαν'. This distinction highlights the specific grammatical requirements of each verb, where 'ἐρωτάω' typically governs the accusative for the person asked, whereas 'λέγω' in this context often takes the dative to indicate the recipient of the speech. The repetition of the pronoun 'αὐτός' in different cases reinforces the focus on the interlocutor without redundancy, a common feature in Koine Greek narrative style to maintain clarity.",39
40,"Why then are you baptizing, if you are not the Christ, nor Elijah, nor the prophet?","This sentence features a series of three negative identifications coordinated by the enclitic particle -δε (meaning 'or' or 'nor'), which creates a distinct rhythmic structure. The repetition of the negative particle οὐ (not) before each title—Christ, Elijah, and the prophet—emphasizes the complete denial of these specific messianic or prophetic identities. The use of οὐν (then/therefore) connects this inquiry to a preceding context, suggesting a logical consequence of the speaker's actions. The rhetorical question challenges the legitimacy of the addressee's authority to perform baptism if they do not claim these specific, expected roles. The phrase 'the prophet' (ὁ προφήτης) is a specific reference to the expectation found in Deuteronomy 18:15 regarding a prophet like Moses, a figure anticipated in Second Temple Judaism.",40
