Unnamed: 0,translation,notes,sent_id
0,"Let us begin to sing of the Muses, the Heliconian ones, who dwell on great and holy Helicon, and dance around the violet-spring with their soft feet, and around the altar of mighty Kronion.","This opening line of Hesiod's Theogony establishes the poet's invocation to the Muses, a standard feature of epic poetry known as an invocation or proem. The sentence employs a chiasmic structure in the description of the Muses' activities and the objects they surround: they 'dwell' (εἰχουσιν) on the mountain, and 'dance' (ὀρχεῦνται) around the spring and altar. The use of the enclitic conjunctions τε and καί (specifically the pattern τε... τε... and καί... καί... though here varied) creates a rhythmic, incantatory quality typical of oral tradition. The adjective 'violet-colored' (ἰοειδέα) applied to the spring highlights the lush, fertile nature of Mount Helicon, a place sacred to both the Muses and Dionysus. 'Kronion' is an epithet for Zeus, son of Kronos, emphasizing his supreme power; the use of the patronymic rather than the name itself adds a layer of traditional formulaic language. The phrase 'soft feet' (πόσσ' ἀπαλοῖσιν) is a poetic characterization of the divine dancers, contrasting their ethereal nature with human physicality.",0
1,"And after washing their tender flesh at the spring of Parnassus, the Hippocrene, and at the holy spring of Olmeus on the highest peak of Helicon, they formed beautiful, enchanting choruses.","The sentence employs a periphrastic construction where the participle λοεσσάμεναι (having washed) sets the temporal and causal context for the main verb ἐνεποιήσαντο (they made/formed). The text utilizes asyndeton in the listing of the two springs, connected only by the coordinating conjunction τε...τε (both...and) embedded within the participial phrase, creating a rhythmic enumeration of sacred sites. The epithet ζαθέοιο (holy/divine) applied to the spring of Olmeus highlights the religious significance of the location, a common feature in Hesiod's theogonic geography where specific springs are associated with the Muses. The phrase ἀκροτάτῳ Ἑλικῶνι (on the highest peak of Helicon) uses the superlative adjective to emphasize the elevated, sacred nature of the mountain. The final adjectives καλούς (beautiful) and ἱμερόεντας (desirable/enchanting) form a hendiadys-like pair, intensifying the aesthetic appeal of the choruses, which are central to the cultic life of the Muses. The syntax reflects the oral tradition of Hesiod, where the accumulation of divine attributes and locations builds a sense of grandeur and sanctity.",1
2,And they strengthened themselves with their feet.,"The verb ἐπερρώσαντο is a deponent middle voice aorist form of ἐπιρρώομαι, meaning 'to strengthen oneself' or 'to become strong.' In this context, the middle voice suggests the subjects performed the action upon themselves, often implying a physical or spiritual fortification. The dative plural ποσσίν ('feet') functions as an instrumental dative, indicating the means by which the action was accomplished. This phrase describes the Hesiodic Muses, who, after appearing to the shepherds, inspire them with their song, effectively 'strengthening' them through their presence and words. The use of 'feet' metaphorically suggests the act of standing firm or moving forward in a state of renewed vigor, possibly alluding to the Muses' ability to embolden the shepherds to continue their pastoral duties or to sing. The particle δέ serves a connective function, linking this action to the preceding narrative.",2
3,"From there, having taken their leave, they went forth, shrouded in much mist, by night, to strike the most beautiful voice, to hymn Zeus the aegis-bearer and Lady Hera of Argos, clad in golden sandals, and the daughter of aegis-bearing Zeus, bright-eyed Athena, and Phoebus Apollo and Artemis the archer, and Poseidon the earth-shaker, and holy Themis, and Aphrodite with the turning eyelids, and Hebe with the golden crown, and beautiful Dione, and Leto, and Iapetus, and Cronus the crooked-counselled, and Dawn, and great Helios, and bright Selene, and Gaia, and great Oceanus, and dark Night, and the sacred race of all the immortals who have always been.","This sentence is a complex participial and infinitival construction describing the movement and purpose of the Muses (implied by the context of 'from there' and the list of deities). The sentence employs extensive epithets, a hallmark of Homeric and Hesiodic style, which serve both mnemonic and descriptive functions. Notable epithets include 'aegis-bearing' (αιγιόχοον) for Zeus, 'bright-eyed' (γλαυκώπιν) for Athena, 'earth-shaker' (εὐνοσίγαιον) for Poseidon, and 'crooked-counselled' (ἀγκυλομήτην) for Cronus. The use of 'by night' (ἐννύχιαι) contrasts with the presence of celestial bodies like Dawn and Helios later in the list, suggesting a cosmic scope of their song that transcends specific times of day. The sentence utilizes asyndeton (the omission of conjunctions) in the final list of deities to create a rapid, accumulating rhythm, while the repeated use of the enclitic particle 'te' (τε) before each name creates a rhythmic, incantatory quality typical of hymnic poetry. The phrase 'to strike the most beautiful voice' (περικαλέα ὀσσαν ἰείσαι) uses 'osson' (voice) in the accusative, governed by the infinitive 'iēsai' (to send forth), indicating the act of producing the song. The final clause 'the sacred race of all the immortals who have always been' (ἄλλων τ᾽ ἀθανάτων ἱερὸν γένος αἰὲν ἐόντων) acts as a comprehensive summary, elevating the specific list to a universal category of divine beings.",3
4,"For truly once they taught Hesiod the beautiful song, while he was tending lambs under the holy Helicon.","The sentence utilizes the particle combination 'αἵ νυ' (ainu) to introduce a statement with emphatic certainty, often found in epic poetry to assert a divine or foundational truth. The verb 'ἐδίδαξαν' (they taught) takes a double accusative construction: 'Ἡσίοδον' (Hesiod) as the indirect object (person taught) and 'αἰδήν' (song) as the direct object (thing taught). The adjective 'καλἡν' (beautiful) modifies 'αἰδήν', a common epithet for poetry in the Hesiodic tradition, signifying its divine origin and aesthetic perfection. The participle 'ποιμαίνονθ'' (tending/shepherding) functions adverbially to describe the state of Hesiod at the time of the instruction. The preposition 'ὑπό' (under) with the genitive 'Ἑλικῶνος' (Helicon) indicates the location, while 'ζαθέοιο' (holy/divine) describes Mount Helicon, emphasizing its status as the sacred seat of the Muses. The syntax reflects the narrative style of the Theogony, where the poet recounts his own initiation by the divine figures.",4
5,"To this story the goddesses spoke to me first: Muses of Olympus, daughters of aegis-bearing Zeus.","This verse features an invocation of the Muses, a standard convention in epic poetry to request divine inspiration for the narrative. The phrase 'to this story' (τοῦνδε... μῦθον) refers to the specific myth Hesiod is about to recount. The epithet 'aegis-bearing' (αἰγιόχοιο) is a characteristic Homeric and Hesiodic formula for Zeus, referring to his protective aegis. The sentence structure uses apposition (Μοῦσαι... καὶ Διὸς αἰγιόχοιο) to define the 'goddesses' (θεαί) more specifically. The adverb 'first' (πρωτίστα) emphasizes the initial nature of this divine communication to the poet.",5
6,"Shepherds of the field, evil rebukes, bellies only, we know that we can tell many false things resembling the true things, and we know, whenever we wish, to proclaim the true things.","This sentence features a famous chiasmus in its structure, contrasting the ability to speak falsehoods (lines 8-12) with the ability to speak the truth (lines 14-21). The vocative 'shepherds of the field' (ποιμενες ἀγραυλοι) is an ironic address to the Muses, referring to their origin as rustic figures or their perceived role in deceiving mortals. The phrase 'evil rebukes' (κακ' ελεγχέα) functions as a parenthetical apposition, expressing the poet's frustration with their deceptive nature. The metaphor 'bellies only' (γαστερες ὀιον) suggests that the Muses' knowledge is driven by physical desire or appetite rather than divine insight, a common motif in Greek literature regarding the unreliability of poetic inspiration when it is not guided by truth. The sentence utilizes asyndeton in the first clause, omitting conjunctions to create a rapid, accusatory rhythm. The use of the perfect tense 'we know' (ἴδμεν) emphasizes the speaker's settled, experiential knowledge of the Muses' dual capacity. The verb γηρύσασθαι (to proclaim or report) is a poetic term often associated with the authoritative voice of the poet or the divine messenger.",6
7,"Thus spoke the daughters of great Zeus, the ever-spoken-of ones.","The sentence employs the adverb ὡς (hōs) to introduce a clause of manner or result, meaning 'thus' or 'in this way,' which serves as a standard formulaic transition in epic narrative. The verb ἐφασαν (ephasan) is an aorist indicative active of φημί, used here in the sense of 'to say' or 'to speak,' a verb frequently associated with authoritative declaration in Homeric and Hesiodic poetry. The subject, κοῦραι (kourai), refers to the Muses, daughters of Zeus and Mnemosyne. The adjective μεγάλου (megálou) emphasizes Zeus's supreme power and stature, a common epithet in theogonic contexts. The term αὐριεπεῖαι (arripeiai) is a rare and distinctive compound adjective meaning 'true-speaking' or 'those who speak with truth,' derived from αὐρίς (truth) and εἶπον (to speak). This epithet highlights the Muses' role as bearers of divine truth and their authority in recounting the origins of the cosmos. The structure of the sentence reflects the oral tradition's reliance on formulaic expressions to maintain rhythm and aid memory during recitation.",7
8,"And give me the staff, having plucked the branch of the fruit-laden laurel, a marvel.","The sentence describes a divine授受 (giving) of authority, symbolized by the 'staff' (σκῆπτρον), a common motif in Greek literature for royal or prophetic power. The participle δρεψασαι (having plucked) is aorist active feminine singular, agreeing with the implied female subject (likely a Muse or the speaker in an invocation context), and functions adverbially to indicate the manner or condition of the main action. The epithet εριθηλέος (fruit-laden) modifies δαφνης (laurel), emphasizing the vitality and sacredness of the plant, which was associated with Apollo and poetic inspiration. The final adjective θηητόν (a marvel, wondrous thing) acts as an appositional predicate to οζον (branch), heightening the sense of awe and divine wonder. The structure employs a direct imperative-like request (here rendered as a statement in the narrative context of the Theogony) followed by a descriptive participle phrase, creating a rhythmic flow typical of Hesiodic diction.",8
9,"And they breathed divine speech into me, so that I might proclaim both the things that are to come and the things that have been.","This sentence exemplifies the poet's divine inspiration (the Muses breathing 'divine speech' or 'inspired voice' into him) and his subsequent role as a prophetic narrator. The structure employs a chiastic relationship between the participles: 'things that are to come' (future) and 'things that have been' (past), emphasizing the poet's omniscient scope over time. The conjunction 'τε' (and) is enclitic and attached to the second item in the pair ('τ' ἐσσόμενα'), a common poetic device used to link closely related concepts. The use of the aorist subjunctive 'κλείοιμι' after 'ἵνα' (so that) expresses the purpose of the divine inspiration. The phrase 'θέσπιν αὐδὴν' is a key poetic collocation, signifying not just ordinary speech but divinely inspired utterance.",9
10,"And he commanded me to always sing the race of the blessed gods, who have always existed, and to sing them themselves, both first and last, forever.","This sentence exhibits a classic chiasmus in its structure regarding time and scope: 'first' (πρῶτον) is paired with 'last' (ὑστατον), while the temporal adverb 'always' (αἰέν) frames the entire instruction in both clauses. The use of the aorist imperative κεῖλονθ' (he commanded) establishes the authority of the Muse or divine source over the poet. The phrase 'race of the blessed gods' (μακάρων γένος) is a standard formulaic epithet in epic poetry referring to the divine lineage. The intensification 'them themselves' (σφᾶς δ' αὐτὰς) emphasizes the direct and personal nature of the subject matter, distinguishing the gods from other potential topics. The repetition of 'always' (αἰέν) in both the participial phrase and the infinitive clause reinforces the eternal nature of the divine and the timeless quality of the song. The sentence also employs asyndeton in the coordination of the infinitives, creating a rhythmic flow typical of hexameter verse, where the conjunction τε... καί (both... and) links the superlative adjectives.",10
11,But is it true that these things are around an oak or around a rock?,"The sentence features a rhetorical question introduced by the particle combination ἀλλά τί (but, is it perhaps), which signals a transition or a challenge to a preceding assumption. The structure exhibits anaphora through the repetition of the preposition περί ('around'), creating a parallel construction (περί δρὐν ... περί πέτρην) that emphasizes the ubiquity or inescapability of the subject matter. This parallelism also contributes to a rhythmic, almost incantatory quality typical of Hesiodic poetry. The juxtaposition of 'oak' and 'rock' evokes common natural markers in the Greek landscape, suggesting that the truth of the matter is being verified regardless of the specific, perhaps mundane, location. The use of the neuter plural ταὐτα ('these things') as the subject implies a reference to events or facts previously mentioned or generally understood. The sentence structure is interrogative, relying on the intonation implied by the question mark rather than a specific interrogative particle, a common feature in direct questions within archaic Greek.",11
12,"You, from the Muses, let us begin; for they delight Zeus, the father, to sing of his great mind within Olympus, to recount both things that are, things that will be, and things that were before, with a voice to harmonize.","This passage is an invocation to the Muses, a standard feature of epic poetry where the poet asks for divine inspiration to sing of the origins of the cosmos. The syntax features a vocative address (τύνη, 'you') followed by a first-person plural imperative (ἄρχωμεθα, 'let us begin'). The verb τερπουσι ('they delight') governs an infinitive construction (ὑμνεῦσαι, 'to sing'), describing the pleasure the Muses bring to Zeus. A key stylistic feature is the tricolon asyndeton (a list without conjunctions) found in the phrase 'both things that are, things that will be, and things that were before' (τὰ τ᾽ ἔοντα τὰ τ᾽ ἐσόμενα πρό τ᾽ ἔοντα). This structure, utilizing the particle τε... τε... (both... and...), creates a rhythmic progression covering the entire span of time: the present, the future, and the past. The final infinitive ομηρεῦσαι ('to harmonize' or 'to sing in concert') suggests the unified voice of the poet and the divine inspiration. The phrase 'great mind within Olympus' refers to Zeus's supreme authority and cosmic order.",12
13,"Of them, the ceaseless song flows sweet from their mouths.","The sentence employs a vivid personification of poetry itself as a living, flowing entity ('song flows'), a common metaphor in archaic Greek literature to describe the oral transmission of myth. The adjective 'ἀκάματος' (ceaseless/unwearying) describes the song, emphasizing the eternal and tireless nature of the Muses' divine inspiration. The phrase 'ἐκ στομάτων' (from mouths) highlights the oral performance aspect central to the culture of the time, where poetry was not merely written but physically breathed out. The word order places the modifier 'ἠδεῖα' (sweet) at the end of the clause, creating a rhythmic closure that mirrors the flow of the song it describes. The genitive 'τῶν' refers back to the Muses mentioned in the preceding context, establishing their connection to the song.",13
14,"And she scattered the halls of her father Zeus, thunder-loud, when she heard the soft-voiced goddess.","The sentence features the compound adjective ἐριγδούποιο (erigduopoio), an epithet meaning 'thunder-loud' or 'resounding with thunder,' which is a standard Homeric and Hesiodic epithet for Zeus, emphasizing his power and the sonic nature of his authority. The construction ὀπι λειριοέσσῃ σκιδναμένῃ uses a perfect participle (σκιδναμένη) in the feminine singular dative to agree with the implied subject 'she' (likely Rhoeo or a nymph in this specific context, though the text implies a female agent), functioning adverbially to indicate the cause or time of the scattering ('having heard' or 'when she heard'). The epithet λειριοέσση (leirosesse) meaning 'soft-voiced' or 'lily-voiced' creates a stark contrast with 'thunder-loud,' employing antithesis to highlight the difference in auditory character between the divine male and female figures. The use of the enclitic particles δε and τε (γελᾴ δε τε) serves to link this action to the preceding narrative while adding a sense of continuity and emphasis to the verb 'scattered.' The syntax places the object (δώματα) early, followed by a complex genitive phrase modifying it, before introducing the participial clause that provides the agent's motivation.",14
15,"The head of snowy Olympus sounds, and the houses of the immortals.","The sentence employs a striking personification of Mount Olympus, attributing the capacity to 'sound' (ἠχεῖ) to its 'head' (κάρη). In Greek mythology, the 'head' of a mountain often refers to its peak; here, the peak itself is the subject that resounds, likely due to the movement of the gods or the wind. The construction uses a compound subject connected by the enclitic coordinating conjunction τε ('and'), which follows the first noun phrase (κάρη...), a feature known as enclitic -te, often used in poetic contexts to link closely related elements without the repetition of a full conjunction. The adjective νιφοῦντος ('snowy') is an epithet commonly applied to Olympus in epic poetry, emphasizing its high, cold, and divine nature. The phrase 'houses of the immortals' (δῶματα τ᾽ ἀθανάτων) refers to the divine dwellings on the mountain, reinforcing the celestial setting. The syntax places the verb at the beginning of the clause, a common poetic device in Homeric and Hesiodic verse to create immediate impact. The asyndeton-like effect of the τε joining the two subjects creates a rhythmic balance between the natural feature (the peak) and the divine structures (the houses), suggesting an inseparable connection between the mountain's physical presence and the divine activity within it.",15
16,"First, they sing of the immortal race of the gods, the venerable one, beginning their song from the beginning; whom wide Heaven and Earth bore, who from them were born the gods, givers of good things.","The sentence opens with a clear example of wordplay (paronomasia) using the root of 'beginning': 'ἀοιδῆ ἐξ ἀρχῆς' (a song from a beginning), emphasizing the poet's claim to establish a foundational narrative. The phrase 'πρὡτον' (first) functions adverbially to mark the initiation of the poetic enumeration. The epithet 'εὐρὐς' (wide) applied to 'Οὐρανὀς' (Heaven) is a standard Homeric and Hesiodic attribute highlighting the expanse of the sky. The relative clause structure 'ὃς... ὅ τ'...' creates a cohesive link between the gods mentioned and their genealogy, a common feature in genealogical catalogues. The final phrase 'δωτἠρες ἐἀων' (givers of good things) serves as an appositive to 'θεοἰ' (gods), summarizing their primary function in the human-divine relationship. The sentence employs a balanced structure where the invocation of the Muses' song is immediately grounded in the mythological origin of the deities they celebrate.",16
17,"Secondly, the Muses, starting their song and calling it by name, sing of Zeus, father of the gods and of men, as much as he is the mightiest among the gods and greatest in power.","The sentence features a chiastic structure in the description of Zeus's supremacy: 'the mightiest among the gods' (φερτάτος ... θεῶν) is paired with 'greatest in power' (μέγιστος ... κράτει), creating a balanced emphasis on his preeminence. The verb ὑμνεύσι (they sing) is modified by two present participles, ἀρχόμεναι (starting/beginning) and ἐκλήγουσαι (calling by name), which describe the manner in which the Muses initiate their hymn. The enclitic τε (θ') is used in coordination with καί to link the participles and later the two superlative phrases, a common stylistic device in Hesiodic poetry to create rhythmic flow and emphasis. The phrase 'father of the gods and of men' is a standard epithet for Zeus, highlighting his dual role as the supreme deity of the pantheon and the patriarch of humanity.",17
18,"Again, the Olympian Muses, the daughters of aegis-bearing Zeus, delight in the mind of Zeus within Olympus, to sing of the race of men and the race of the mighty Giants.","The sentence employs a double infinitive construction (ὑμνεῦσαι τε...) governed by the verb τέρπουσι ('they delight'), where the infinitive functions adverbially to express the purpose or content of their delight. The use of τε... τε creates a balanced coordination between 'the race of men' and 'the race of the mighty Giants,' a common Hesiodic device for pairing opposing or complementary cosmological forces. The epithet αἰγίοχος ('aegis-bearing') for Zeus is a standard Homeric and Hesiodic formula emphasizing his martial power and protection, while the appositional phrase 'daughters of Zeus' (κοῦραι Διός) reinforces the divine lineage of the Muses. The word order places the subject (Μοῦσαι) after the adverbial phrase and verb, creating a slight delay that emphasizes the action before identifying the agents, a stylistic feature often used to build narrative momentum. The repetition of τε at the end of the first clause (τε... τε) serves to link the two genitive phrases (ἀνθρώπων τε... Γιγάντων) as a single collective object of the infinitive, highlighting the scope of the Muses' song.",18
19,"And Memory bore them in Parnassus, after mingling with Cronus's son, ruling the high places of Eleutherae, forgetfulness of evils and a respite from cares.","The sentence describes the birth of the Muses (referred to collectively as 'them' or 'taς') by Mnemosyne (Memory) and Zeus (Cronus's son). The verb 'τεκε' (bore) is in the aorist tense, indicating a completed action in the mythological past. The participle 'μιγησα' (after mingling) is aorist active, indicating the means or circumstance of the birth. The phrase 'γουνισιν Ελευθερος' (high places of Eleutherae) is a specific geographical reference; Eleutherae was a town on the border of Boeotia and Attica, often associated with the entrance to the land of the Muses. The sentence employs a chiasmus-like structure in the final clause: 'λησμοσυνην τε κακων αμπωμα τε μερμηραων' (forgetfulness of evils and a respite from cares). The repetition of 'τε' (and) creates a balanced, rhythmic effect, emphasizing the dual nature of the Muses' gift: the removal of pain and the provision of relief. The term 'αμπωμα' (respite, rest) is a poetic word, often used in the context of divine or heroic relief. The sentence reflects the Hesiodic tradition of the Muses as divine inspirers who bring forgetfulness of suffering and a sense of rest to those who honor them.",19
