,greek_id,greek_word,gloss,sent_id
0,100242731,Μουσάων,of Muses,0
1,100242732,Ἑλικωνιάδων,Heliconian,0
2,100242733,ἀρχώμεθ',let us begin,0
3,100242734,ἀείδειν,to sing,0
4,100242735,",",",",0
5,100242736,αἵθ’,if,0
6,100242737,Ἑλικῶνος,Helicon,0
7,100242738,ἔχουσιν,hold,0
8,100242739,ὄρος,mountain,0
9,100242740,μέγα,great,0
10,100242741,τε,and,0
11,100242742,ζάθεόν,sacred,0
12,100242743,τε,and,0
13,100242744,καί,and,0
14,100242745,τε,and,0
15,100242746,περὶ,around,0
16,100242747,κρήνην,spring,0
17,100242748,ἰοειδέα,violet-colored,0
18,100242749,πόσσ',with their feet,0
19,100242750,ἁπαλοῖσιν,delicate,0
20,100242751,ὀρχεῦνται,they dance,0
21,100242752,καὶ,and,0
22,100242753,βωμὸν,altar,0
23,100242754,ἐρισθενέος,mighty,0
24,100242755,Κρονίωνος,of Cronus,0
25,100242756,.,.,0
26,100242757,καί,and,1
27,100242758,τε,and,1
28,100242759,λοεσσάμεναι,having washed,1
29,100242760,τέρενα,soft,1
30,100242761,χρόα,flesh,1
31,100242762,Περμησσοῖο,of the Permessus,1
32,100242763,ἢ,or,1
33,100242764,Ἵππου,of the horse,1
34,100242765,κρήνης,of the spring,1
35,100242766,ἢ,or,1
36,100242767,Ὀλμειοῦ,of Olmeus,1
37,100242768,ζαθέοιο,divine,1
38,100242769,ἀκροτάτῳ,highest,1
39,100242770,Ἑλικῶνι,Helicon,1
40,100242771,χοροὺς,dances,1
41,100242772,ἐνεποιήσαντο,made,1
42,100242773,καλούς,beautiful,1
43,100242774,",",",",1
44,100242775,ἱμερόεντας,desirable,1
45,100242776,.,.,1
46,100242777,ἐπερρώσαντο,they became strong,2
47,100242778,δὲ,but,2
48,100242779,ποσσίν,with feet,2
49,100242780,.,.,2
50,100242781,ἔνθεν,from there,3
51,100242782,ἀπορνύμεναι,coming,3
52,100242783,",",",",3
53,100242784,κεκαλυμμέναι,having been covered,3
54,100242785,ἠέρι,with mist,3
55,100242786,πολλῇ,much,3
56,100242787,",",",",3
57,100242788,ἐννύχιαι,by night,3
58,100242789,στεῖχον,marched,3
59,100242790,περικαλλέα,beautiful,3
60,100242791,ὄσσαν,voice,3
61,100242792,ἱεῖσαι,to send,3
62,100242793,",",",",3
63,100242794,ὑμνεῦσαι,to sing,3
64,100242795,Δία,Zeus,3
65,100242796,τ’,and,3
66,100242797,αἰγίοχον,aegis-bearing,3
67,100242798,καὶ,and,3
68,100242799,πότνιαν,Lady,3
69,100242800,Ἥρην,Hera,3
70,100242801,Ἀργεΐην,Argive,3
71,100242802,",",",",3
72,100242803,χρυσέοισι,golden,3
73,100242804,πεδίλοις,sandals,3
74,100242805,ἐμβεβαυῖαν,wearing,3
75,100242806,",",",",3
76,100242807,κούρην,daughter,3
77,100242808,τ’,and,3
78,100242809,αἰγιόχοιο,of the goat-herder,3
79,100242810,Διὸς,of Zeus,3
80,100242811,γλαυκῶπιν,bright-eyed,3
81,100242812,Ἀθήνην,Athena,3
82,100242813,Φοῖβόν,radiant,3
83,100242814,τ',and,3
84,100242815,Ἀπόλλωνα,Apollo,3
85,100242816,καὶ,and,3
86,100242817,Ἄρτεμιν,Artemis,3
87,100242818,ἰοχέαιραν,arrow-shooter,3
88,100242819,ἠδὲ,and,3
89,100242820,Ποσειδάωνα,Poseidon,3
90,100242821,γεήοχον,earth-holding,3
91,100242822,",",",",3
92,100242823,ἐννοσίγαιον,earth-shaker,3
93,100242824,",",",",3
94,100242825,καὶ,and,3
95,100242826,Θέμιν,Themis,3
96,100242827,αἰδοίην,venerable,3
97,100242828,ἑλικοβλέφαρόν,with curling eyelashes,3
98,100242829,τ’,and,3
99,100242830,Ἀφροδίτην,Aphrodite,3
100,100242831,Ἥβην,Youth,3
101,100242832,τε,and,3
102,100242833,χρυσοστέφανον,golden-crowned,3
103,100242834,καλήν,beautiful,3
104,100242835,τε,and,3
105,100242836,Διώνην,Dione,3
106,100242837,Λητώ,Leto,3
107,100242838,τ',and,3
108,100242839,Ἰαπετόν,Iapetus,3
109,100242840,τε,and,3
110,100242841,ἰδὲ,see,3
111,100242842,Κρόνον,Cronus,3
112,100242843,ἀγκυλομήτην,bent-kneed,3
113,100242844,Ἠῶ,dawn,3
114,100242845,τ’,and,3
115,100242846,Ἠέλιόν,the Sun,3
116,100242847,τε,and,3
117,100242848,μέγαν,great,3
118,100242849,λαμπράν,bright,3
119,100242850,τε,and,3
120,100242851,Σελήνην,Selene,3
121,100242852,Γαῖάν,Earth,3
122,100242853,τ’,and,3
123,100242854,Ὠκεανόν,Ocean,3
124,100242855,τε,and,3
125,100242856,μέγαν,great,3
126,100242857,καὶ,and,3
127,100242858,Νύκτα,Night,3
128,100242859,μέλαιναν,dark,3
129,100242860,ἄλλων,other,3
130,100242861,τ',and,3
131,100242862,ἀθανάτων,immortal,3
132,100242863,ἱερὸν,sacred,3
133,100242864,γένος,race,3
134,100242865,αἰὲν,always,3
135,100242866,ἐόντων,being,3
136,100242867,.,.,3
137,100242868,αἵ,they,4
138,100242869,νύ,indeed,4
139,100242870,ποθ’,once,4
140,100242871,Ἡσίοδον,Hesiod,4
141,100242872,καλὴν,beautiful,4
142,100242873,ἐδίδαξαν,taught,4
143,100242874,ἀοιδήν,song,4
144,100242875,",",",",4
145,100242876,ἄρνας,lambs,4
146,100242877,ποιμαίνονθ’,shepherding,4
147,100242878,Ἑλικῶνος,of Helicon,4
148,100242879,ὕπο,under,4
149,100242880,ζαθέοιο,sacred,4
150,100242881,.,.,4
151,100242882,τόνδε,this,5
152,100242883,δέ,and,5
153,100242884,με,me,5
154,100242885,πρώτιστα,first,5
155,100242886,θεαὶ,goddesses,5
156,100242887,πρὸς,toward,5
157,100242888,μῦθον,word,5
158,100242889,ἔειπον,I spoke,5
159,100242890,",",",",5
160,100242891,Μοῦσαι,Muses,5
161,100242892,Ὀλυμπιάδες,Olympian,5
162,100242893,",",",",5
163,100242894,κοῦραι,daughters,5
164,100242895,Διὸς,of Zeus,5
165,100242896,αἰγιόχοιο,of the goat-herder,5
166,100242897,.,.,5
167,100242898,ποιμένες,shepherds,6
168,100242899,ἄγραυλοι,ungraceful,6
169,100242900,",",",",6
170,100242901,κάκ’,bad,6
171,100242902,ἐλέγχεα,reproaches,6
172,100242903,",",",",6
173,100242904,γαστέρες,bellies,6
174,100242905,οἶον,just like,6
175,100242906,",",",",6
176,100242907,ἴδμεν,know,6
177,100242908,ψεύδεα,lies,6
178,100242909,πολλὰ,many,6
179,100242910,λέγειν,to say,6
180,100242911,ἐτύμοισιν,true,6
181,100242912,ὁμοῖα,similar,6
182,100242913,",",",",6
183,100242914,ἴδμεν,we know,6
184,100242915,δ’,and,6
185,100242916,",",",",6
186,100242917,εὖτ’,when,6
187,100242918,ἐθέλωμεν,we wish,6
188,100242919,",",",",6
189,100242920,ἀληθέα,truths,6
190,100242921,γηρύσασθαι,to speak,6
