,greek_id,english_word,sent_id,greek_word,alignments,gloss
0,113338383,Just,1,ὥσπερ,,
1,113338384,as,1,τοῖς,,
2,113338385,those,1,ἀθλητικοῖς,,
3,113338386,engaged,1,καὶ,,
4,113338387,in,1,περὶ,,
5,113338388,athletic,1,τὴν,,
6,113338389,pursuits,1,τῶν,,
7,113338390,and,1,σωμάτων,,
8,113338391,in,1,ἐπιμέλειαν,,
9,113338392,the,1,ἀσχολουμένοις,,
10,113338393,care,1,οὐ,,
11,113338394,of,1,τῆς,,
12,113338395,their,1,εὐεξίας,,
13,113338396,bodies,1,μόνον,,
14,113338397,are,1,οὐ,,
15,113338398,not,1,-δὲ,,
16,113338399,concerned,1,τῶν,,
17,113338400,only,1,γυμνασίων,,
18,113338401,with,1,φροντίς,,
19,113338402,the,1,ἐστιν,,
20,113338403,condition,1,",",,
21,113338404,of,1,ἀλλὰ,,
22,113338405,their,1,καὶ,,
23,113338406,bodies,1,τῆς,,
24,113338407,but,1,κατὰ,,
25,113338408,also,1,καιρὸν,,
26,113338409,with,1,γινομένης,,
27,113338410,the,1,ἀνέσεως,,
28,113338411,relaxation,1,—,,
29,113338412,that,1,μέρος,,
30,113338413,occurs,1,γοῦν,,
31,113338414,at,1,τῆς,,
32,113338415,the,1,ἀσκήσεως,,
33,113338416,proper,1,τὸ,,
34,113338417,time,1,μέγιστον,,
35,113338418,for,1,αὐτὴν,,
36,113338419,they,1,ὑπολαμβάνουσιν,,
37,113338420,consider,1,—,,
38,113338421,this,1,οὕτω,,
39,113338422,relaxation,1,δὴ,,
40,113338423,to,1,καὶ,,
41,113338424,be,1,τοῖς,,
42,113338425,the,1,περὶ,,
43,113338426,greatest,1,τοὺς,,
44,113338427,part,1,λόγους,,
45,113338428,of,1,ἐσπουδακόσιν,,
46,113338429,their,1,ἡγοῦμαι,,
47,113338430,training,1,προσήκειν,,
48,113338431,so,1,μετὰ,,
49,113338432,I,1,τὴν,,
50,113338433,think,1,πολλὴν,,
51,113338434,it,1,τῶν,,
52,113338435,is,1,σπουδαιοτέρων,,
53,113338436,appropriate,1,ἀνάγνωσιν,,
54,113338437,for,1,ἀνιέναι,,
55,113338438,those,1,τε,,
56,113338439,devoted,1,τὴν,,
57,113338440,to,1,διάνοιαν,,
58,113338441,discourse,1,καὶ,,
59,113338442,after,1,πρὸς,,
60,113338443,their,1,τὸν,,
61,113338444,extensive,1,ἔπειτα,,
62,113338445,reading,1,κάματον,,
63,113338446,of,1,ἀκμαιοτέραν,,
64,113338447,serious,1,παρασκευάζειν,,
65,113338448,works,1,.,,
66,113338449,to,1,,,
67,113338450,relax,1,,,
68,113338451,their,1,,,
69,113338452,minds,1,,,
70,113338453,and,1,,,
71,113338454,prepare,1,,,
72,113338455,them,1,,,
73,113338456,more,1,,,
