Unnamed: 0,translation,notes,sent_id
0,"I, the child of Zeus, Dionysus, have come to this land of the Thebans, whom once the daughter of Cadmus, Semele, bore while giving birth in lightning-bearing fire.","The sentence features a prominent appositional structure where 'Διοὺς παῖς' (child of Zeus) and 'Διόνυσος' (Dionysus) are placed in apposition to the subject 'ἡκω' (I have come), creating a self-introduction that emphasizes divine lineage. The verb 'ἡκω' (I have come) is in the perfect tense, indicating a present state resulting from a past action, here signifying the god's arrival and current presence in Thebes. The relative clause 'ὃν τίκτει...' (whom... bore) provides the genealogical background, identifying Semele as the mother and Cadmus as the grandfather. The phrase 'λοχευθεῖσ' ἄστραπτοφόρῳ πυρί' (giving birth in lightning-bearing fire) uses the aorist middle participle 'λοχευθεῖσ' (giving birth) to describe the manner of birth, which is a key mythological element: Semele was consumed by Zeus's lightning while pregnant with Dionysus, necessitating his birth from Zeus's thigh. The use of 'ποθ'' (once/sometime) adds a temporal distance to the event, contrasting the past tragedy with the present arrival. The syntax flows from the declaration of identity to the location, then to the divine parentage, culminating in the dramatic circumstances of birth. The phrase 'ἄστραπτοφόρῳ πυρί' (lightning-bearing fire) is a compound adjective that vividly personifies the lightning as a carrier of fire, enhancing the imagery of the divine intervention. The sentence structure is typical of tragic monody, where the protagonist reveals their identity and origins in a single, powerful statement.",0
1,"Having exchanged my form for a mortal one, I am present at the waters of Dirce and the stream of the Ismenus.","The sentence employs a perfective aorist participle (ἀμείψας) to denote a completed action occurring prior to the main verb (παρειμι), a common narrative strategy to establish the speaker's transformed state before asserting their current presence. The phrase 'μορφήν... βροτησίαν' (a mortal form) highlights the central theme of the play: the god Dionysus assuming human guise to challenge the Theban king. The use of the enclitic conjunction '-τε' (here written as θ') creates a copulative link between the two geographical water sources, Dirce and Ismenus, which are sacred springs in Thebes. The asyndeton between the participle clause and the main verb creates a swift, declarative rhythm, emphasizing the immediacy of the god's appearance. The choice of 'ναμάτων' (waters/springs) and 'ὕδωρ' (water) for the same location serves to elevate the local geography to a sacred context appropriate for a deity's introduction.",1
2,"I see the tomb of my mother, the thunder-struck one, this close by the houses and the ruins of the buildings, smoldering with the flame of Zeus's fire, even now living, the immortal mother of Hera, in response to my insolence.","The sentence features a complex appositional structure where 'φλόγα' (flame) is equated with 'Ἥρας μητέρα' (mother of Hera), creating a striking theological and mythological paradox: the living fire of Zeus is identified as the mother of Hera. The participle 'τυφόμενα' (smoldering) and the perfect active participle 'ζώσαν' (living) create a vivid image of the tomb as an active, burning entity rather than a static monument. The use of 'ὑβρίν' (insolence/hubris) as the object of 'εἰς' (toward/against) highlights the Greek tragic theme of divine retribution against human arrogance. The syntax places the physical description of the ruins before the theological identification of the fire, emphasizing the tangible evidence of the gods' wrath. The sentence also exhibits a form of asyndeton in the listing of locations ('οἴκων και δόμων') which are closely linked, though a conjunction is present, the density of the genitive phrases creates a compressed, breathless rhythm typical of Euripidean choral odes describing catastrophe.",2
3,"I praise Cadmus, who makes this ground a forbidden place, the shrine of his daughter.","The sentence employs a participial relative clause (ὅς τιθήσι) to describe Cadmus's action. The adjective ἄβατον (forbidden, inaccessible) modifies the accusative noun πῆδον (ground/earth), emphasizing the sacred and restricted nature of the location. The phrase σηκόν θυγατρός (shrine of the daughter) functions as an apposition to πῆδον, identifying the specific purpose of the ground. The construction highlights the duality of Cadmus's role: he is both the founder of Thebes and the one who designates a specific, sacred area (likely the cave of the Nymphs or a similar spot) as off-limits to mortals, consecrated to his daughter Agave. The use of the demonstrative adjective τοῦδε (this) draws immediate attention to the specific spot being discussed in the dramatic context. The syntax reflects the solemn tone of a choral ode, praising the king while simultaneously marking the sanctity of the divine space he has established.",3
4,I have covered her all around with the verdant cluster-bearing foliage of the vine.,"The sentence features a strong emphatic structure where the direct object 'her' (νιν) is placed immediately after the conjunction 'but' (δέ), creating a focal point before the subject 'I' (ἐγώ) appears. The verb καλύπτω (to cover/shroud) is in the aorist active indicative, denoting a completed action of concealment or protection. The preposition περίξ (all around) combined with the genitive αμπέλου (of the vine) establishes a spatial enclosure. The phrase βοτρυώδει χλόῃ utilizes a dative of means or instrument, describing the material used for covering: the 'grass' or 'foliage' (χλόη) is qualified by the adjective 'cluster-bearing' (βοτρυώδης), a specific epithet highlighting the fertility and wild nature of the vine associated with Dionysiac worship. The imagery evokes the ritualistic wrapping or hiding of a figure (likely a devotee or the god himself in disguise) within the lush, untamed vegetation of the vineyard, a common motif in the cult of Dionysus symbolizing both concealment and the intoxicating power of nature.",4
5,"Having abandoned the gold-fenced fields of the Lydians and the Phrygians, and the sun-struck stone slabs of the Persians, and having advanced upon the walls of the Bactrians and the hostile land of the Medes, and having come to the blessed Arabia and to all of Asia, which lies beside the salty sea and holds mixed assemblies of Greeks and barbarians together, full of well-towered cities, I first came to this city of the Greeks, having danced the dances here and established my own rites, so that I might be a visible god to mortals.","This passage exemplifies the grand, enumerative style characteristic of Dionysiac theophany in tragedy. The speaker, Dionysus, employs a long, sweeping list of geographic locations (Lydians, Phrygians, Persians, Bactrians, Medes, Arabia, Asia) connected by the copulative particle 'τε' (te) and the enclitic '-θ' (th') to convey the vastness of his conquests and the universality of his cult. The syntax creates a rhythmic accumulation of power before the climax of his arrival in Thebes ('this city of the Greeks'). The phrase 'μιγασίν Ἕλλησι βάρβαροις θ' ὁμοῦ' (mixed Greeks and barbarians together) highlights the central theme of the play: the dissolution of traditional cultural boundaries and the unifying, often chaotic, power of the god. The use of participles ('λιπών', 'ἐπελθών') creates a temporal sequence leading to the main verb ('ἤλθον'), emphasizing the journey as a prelude to the current revelation. The final clause introduced by 'ἵνα' (hina) with the optative 'εἴην' (eīēn) expresses the purpose of this arrival: to manifest his divinity ('ἐμφανής δαίμων') to humanity ('βροτοῖς'), a key motif in Euripides' exploration of the nature of the divine.",5
6,"I first raised a loud cry over the first cities of this Hellenic land, having flung off the fawn-skin, and having given the thyrsus into my hand, the ivy-tipped dart.","The sentence employs a series of aorist participles (ἐξαψας, δούς) that function adverbially, modifying the main verb (ἠνωλόλυξα) to describe the accompanying actions of the speaker. The use of the demonstrative pronoun ὁδε (τησδε) emphasizes the immediate presence of the 'Hellenic land' in the context of the speaker's arrival. The phrase κισσινον βελος (ivy-tipped dart) serves as an apposition to θυρσον (thyrsus), a common rhetorical device in Greek tragedy to clarify or intensify the imagery of the god's attribute. The syntactic structure creates a vivid, sequential narrative of transformation, moving from the act of shouting to the physical preparation of the god's regalia. The term νεβριδ' refers to the skin of a fawn, a distinctive garment associated with the worship of Dionysus and his retinue, symbolizing the god's connection to the wild and untamed nature.",6
7,"For my sisters, whom I should least have expected, did not claim that Dionysus was born from Zeus, but reported that Semele, having been married to a certain mortal, carried her bed-chamber sin to Zeus, the tricks of Cadmus, for which he boasted that Zeus ought to kill her, because she had lied about the marriage.","This sentence features a complex periodic structure with multiple layers of subordinate clauses. The main verb 'ἐφάσκον' (they claimed) governs two contrasting infinitive phrases connected by 'δέ' (but): first, the denial of Dionysus's divine birth, and second, the accusation regarding Semele. The phrase 'ἡκιστα χρὴ' (it was least necessary/expected) uses an impersonal construction with the genitive relative pronoun 'ἃς' (whom) to express strong surprise at the sisters' lack of faith. The syntax shifts from the sisters' speech to the content of their report, introducing Cadmus's 'σοφίσματα' (tricks/stratagems) as the cause of the deception. The relative clause 'ὧν οὕνεκα' (for which reason) links Cadmus's boasting to the specific lie about the marriage ('γάμους ἐψεύσατο'). The use of 'λεχῆς ἀμαρτίαν' (sin of the bed) is a euphemistic periphrasis for adultery, highlighting the sexual nature of the deception. The sentence employs asyndeton in the listing of accusations and a chiastic flow in the attribution of truth and falsehood between the sisters, Semele, and Cadmus.",7
8,"Therefore, I myself drove her out from the house with frenzies, but the mountain is inhabited by those mad in their minds.","The sentence exhibits a clear antithetical structure contrasting the speaker's action with the location of the subjects. The particle τοιγαρ (therefore) indicates a conclusion drawn from previous context. The use of the intensifying pronoun αυτας (myself/themselves, here emphatic for the subject) with νιν (her) highlights the personal agency of the speaker. The verb οἰστρησ' (drove/goaded) implies a forceful expulsion, driven by μανίαις (frenzies/raves), an instrumental dative plural indicating the means or manner of the action. The second clause introduces a shift in subject to ὀρος (the mountain), described as being inhabited (οικουσι) by παρακοποι φρενων (those mad in their minds). The phrase παρακοποι φρενων is a poetic construction where the adjective 'mad' is qualified by the genitive plural of 'mind', creating a compact image of mental derangement. The sentence employs a chiasmus-like balance between the human action of driving out and the divine/mountain dwelling of the mad, reflecting the Bacchic theme of the boundaries between the domestic sphere and the wild, ecstatic state.",8
9,"He forced [them] to carry the equipment of my rites, and he drove all the female seed of the Cadmeians, all the women who were [there], out of the houses.","The sentence employs a compound predicate structure coordinated by 'καί' (and), where the first verb 'ἠνάγκασε' (he forced) governs an infinitive clause ('ἔχειν' - to have/carry), while the second verb 'ἐξήμηνα' (he drove out) governs a direct object phrase. The phrase 'σπερμα θηλυ' (female seed) is a striking metaphorical construction where 'seed' (σπέρμα) denotes the collective female population, emphasizing their biological role or lineage under the rule of Cadmus. The relative clause 'ὅσαι γυναικες ἦσαν' (all the women who were) functions as an apposition to 'σπέρμα', clarifying the extent of the group affected. The syntax moves from a specific command regarding sacred objects ('σκευὴν... ὀργίων') to a sweeping, violent expulsion of the entire female demographic from domestic spaces ('ἐξήμηνα δωματων'). The use of the perfective aorist for both main verbs ('ἠνάγκασε', 'ἐξήμηνα') suggests a completed, decisive action by the speaker (Dionysus), marking the total subversion of traditional domestic order.",9
